Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
1,Aaron Rodgers(GB),350,541,64.7,"4,434",8.2,30,7,50,58,316,5,4,16,337.0,21.1,97.4%
2,Drew Brees(FA),363,514,70.6,"4,388",8.5,34,11,20,22,33,2,6,15,292.3,19.5,35.7%
3,Matt Schaub(FA),396,583,67.9,"4,770",8.2,29,15,25,48,57,0,2,16,278.5,17.4,0.0%
4,Tom Brady(FA),371,565,65.7,"4,398",7.8,28,13,16,29,44,1,2,16,268.3,16.8,99.1%
5,Ben Roethlisberger(FA),337,506,66.6,"4,328",8.6,26,12,50,40,82,2,3,15,267.2,17.8,23.8%
6,Joe Flacco(NYJ),315,499,63.1,"3,613",7.2,21,12,36,35,56,0,2,16,206.2,12.9,0.3%
7,Matt Ryan(ATL),263,451,58.3,"2,916",6.5,22,14,19,30,49,1,2,14,183.7,13.1,36.3%
8,Alex Smith(FA),225,372,60.5,"2,350",6.3,18,12,22,24,51,0,1,11,144.5,13.1,5.0%
9,Chad Henne(KC),274,451,60.8,"2,878",6.4,12,14,26,16,32,1,0,14,144.4,10.3,0.1%
10,Matthew Stafford(LAR),201,377,53.3,"2,267",6.0,13,20,24,20,108,2,1,10,123.4,12.3,97.2%
11,Ryan Fitzpatrick(WAS),127,227,55.9,"1,422",6.3,9,10,21,31,141,1,2,10,88.8,8.9,6.1%
12,Matt Moore(FA),85,138,61.6,"1,053",7.6,8,2,9,12,-3,0,0,7,69.8,10.0,0.0%
13,Josh Johnson(BAL),63,125,50.4,685,5.5,4,8,11,22,148,0,1,6,40.1,6.7,1.1%
14,Brian Hoyer(NE),19,27,70.4,142,5.3,0,0,2,10,25,1,0,5,14.2,2.8,0.0%
15,Drew Stanton(FA),26,51,51.0,259,5.1,0,6,5,9,33,1,1,3,5.7,1.9,0.0%
16,Josh McCown(FA),1,6,16.7,2,0.3,0,0,1,0,0,0,0,1,0.1,0.1,0.0%
17,Luke McCown(FA),1,3,33.3,2,0.7,0,0,2,0,0,0,0,3,0.1,0.0,0.0%
18,Mac Jones(NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5%
19,Feleipe Franks(ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
20,Trey Lance(SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.3%
21,Justin Fields(CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0%
22,Kyle Trask(TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
23,Sam Ehlinger(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
24,Ben DiNucci(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
25,Jalen Morton(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
26,Reid Sinnett(PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
27,Ian Book(NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8%
28,Trevor Lawrence(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9%
29,Jake Luton(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
30,Chris Streveler(MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
31,Drew Lock(SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5%
32,Daniel Jones(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6%
33,Will Grier(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
34,Brett Rypien(DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
35,Easton Stick(LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
36,Trace McSorley(ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3%
37,Eric Dungey(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
38,Jake Browning(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
39,Gardner Minshew II(PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2%
40,Dwayne Haskins(PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
41,John Wolford(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
42,Jarrett Stidham(NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
43,Danny Etling(GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
44,Alex McGough(SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
45,Tim Boyle(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
46,Kurt Benkert(GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
47,Kyle Allen(WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
48,Kyler Murray(ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.3%
49,Justin Herbert(LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.8%
50,Steven Montez(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
51,Shane Buechele(KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
52,Kellen Mond(MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
53,Bryce Perkins(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
54,Tyler Huntley(BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.7%
55,James Morgan(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
56,Brian Lewerke(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
57,Jalen Hurts(PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.4%
58,David Blough(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
