,Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
0,1,Justin Herbert(LAC),30,41,73.2,382,9.3,3,1,2,9,90,0,0,1,35.3,35.3,98.8%
1,2,Aaron Rodgers(GB),23,33,69.7,385,11.7,4,0,2,2,21,0,0,1,33.5,33.5,97.4%
2,3,Jalen Hurts(PHI),13,24,54.2,147,6.1,0,0,3,18,69,3,0,1,30.8,30.8,94.4%
3,4,Trevor Siemian(NO),22,40,55.0,214,5.4,3,2,0,2,16,1,0,1,26.2,26.2,1.1%
4,5,Cam Newton(CAR),21,27,77.8,189,7.0,2,0,1,10,46,1,0,1,26.2,26.2,20.3%
5,6,Kirk Cousins(MIN),24,35,68.6,341,9.7,3,0,2,2,-4,0,0,1,25.2,25.2,70.7%
6,7,Taylor Heinicke(WAS),16,22,72.7,206,9.4,3,0,3,6,29,0,0,1,23.1,23.1,21.2%
7,8,Ben Roethlisberger(FA),28,44,63.6,273,6.2,3,0,3,0,0,0,0,1,22.9,22.9,23.8%
8,9,Colt McCoy(ARI),35,44,79.5,328,7.5,2,0,2,6,18,0,0,1,22.9,22.9,0.4%
9,10,Tom Brady(FA),30,46,65.2,307,6.7,2,1,0,1,10,0,0,1,20.3,20.3,99.1%
10,11,Tyrod Taylor(HOU),14,24,58.3,107,4.5,0,0,0,6,28,2,0,1,19.1,19.1,4.9%
11,12,Tua Tagovailoa(MIA),27,33,81.8,273,8.3,2,1,0,3,6,0,0,1,18.5,18.5,44.2%
12,13,Josh Allen(BUF),21,35,60.0,209,6.0,2,2,1,2,18,0,0,1,18.2,18.2,100.0%
13,14,Joe Flacco(NYJ),24,39,61.5,291,7.5,2,0,2,2,3,0,1,1,17.9,17.9,0.3%
14,15,Andy Dalton(CHI),11,23,47.8,201,8.7,2,0,1,0,0,0,0,1,16.0,16.0,1.6%
15,16,Jimmy Garoppolo(SF),16,22,72.7,176,8.0,2,0,2,2,6,0,0,1,15.6,15.6,23.3%
16,17,Ryan Tannehill(TEN),35,52,67.3,323,6.2,1,4,2,2,3,0,0,1,13.2,13.2,62.7%
17,18,Tyler Huntley(BAL),26,36,72.2,219,6.1,0,1,6,7,40,0,0,1,11.8,11.8,28.7%
18,19,Mac Jones(NE),22,26,84.6,207,8.0,1,1,3,6,1,0,0,1,11.4,11.4,28.5%
19,20,Carson Wentz(IND),11,20,55.0,106,5.3,1,0,0,2,18,0,0,1,10.0,10.0,44.0%
20,21,Baker Mayfield(CLE),15,29,51.7,176,6.1,1,2,1,4,9,0,0,1,9.9,9.9,26.4%
21,22,Daniel Jones(NYG),23,38,60.5,167,4.4,1,2,2,3,10,0,0,1,9.7,9.7,13.6%
22,23,Derek Carr(LV),19,27,70.4,215,8.0,1,1,2,0,0,0,1,1,9.6,9.6,58.1%
23,24,Joe Burrow(CIN),20,29,69.0,148,5.1,1,0,3,3,11,0,1,1,9.0,9.0,88.3%
24,25,Trevor Lawrence(JAC),16,25,64.0,158,6.3,0,0,3,3,23,0,0,1,8.6,8.6,23.9%
25,26,Russell Wilson(SEA),14,26,53.8,207,8.0,0,0,4,2,2,0,0,1,8.5,8.5,90.4%
26,27,Patrick Mahomes II(KC),23,37,62.2,260,7.0,0,1,3,7,11,0,1,1,8.5,8.5,100.0%
27,28,Dak Prescott(DAL),28,43,65.1,216,5.0,0,2,5,0,0,0,1,1,4.6,4.6,98.2%
28,29,Matt Ryan(ATL),19,28,67.9,153,5.5,0,2,4,0,0,0,0,1,4.1,4.1,36.3%
29,30,Justin Fields(CHI),4,11,36.4,79,7.2,0,0,2,4,23,0,1,1,3.5,3.5,21.0%
30,31,Tim Boyle(DET),15,23,65.2,77,3.3,0,2,0,0,0,0,0,1,1.1,1.1,0.2%
31,32,Sam Ehlinger(IND),0,0,0,0,0,0,0,0,1,9,0,0,1,0.9,0.9,0.1%
32,33,Trey Lance(SF),0,0,0,0,0,0,0,0,3,4,0,0,1,0.4,0.4,26.3%
33,34,Blaine Gabbert(TB),2,2,100.0,11,5.5,0,0,1,2,-2,0,0,1,0.2,0.2,0.1%
34,35,Reid Sinnett(PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
35,36,Jalen Morton(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
36,37,Ben DiNucci(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
37,38,Kyle Trask(TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
38,39,Ian Book(NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8%
39,40,Jake Luton(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
40,41,Will Grier(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
41,42,John Wolford(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
42,43,Dwayne Haskins(PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
43,44,Drew Lock(DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5%
44,45,Brett Rypien(DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
45,46,Easton Stick(LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
46,47,Trace McSorley(ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3%
