"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Josh Allen (BUF)","35","47","74.5","353","7.5","3","1","3","9","26","0","0","1","29.7","29.7","100.0%"
"2","Kirk Cousins (MIN)","33","48","68.8","373","7.8","3","0","0","2","16","0","0","1","28.5","28.5","70.7%"
"3","Dak Prescott (DAL)","36","51","70.6","445","8.7","3","1","0","3","10","0","1","1","27.8","27.8","98.2%"
"4","Matthew Stafford (LAR)","22","28","78.6","251","9.0","4","1","2","2","12","0","0","1","26.2","26.2","97.2%"
"5","Jalen Hurts (PHI)","12","26","46.2","115","4.4","1","1","2","10","44","2","0","1","26.0","26.0","94.4%"
"6","Kyler Murray (ARI)","20","30","66.7","229","7.6","4","0","2","7","6","0","0","1","25.8","25.8","99.3%"
"7","Patrick Mahomes II (KC)","32","47","68.1","397","8.4","2","2","3","3","31","0","0","1","25.0","25.0","100.0%"
"8","Joe Burrow (CIN)","19","29","65.5","271","9.3","3","1","2","5","20","0","0","1","23.8","23.8","88.3%"
"9","Aaron Rodgers (GB)","17","23","73.9","195","8.5","2","0","3","7","19","1","0","1","23.7","23.7","97.4%"
"10","Tua Tagovailoa (MIA)","33","47","70.2","329","7.0","2","1","0","3","22","0","0","1","22.4","22.4","44.2%"
"11","Derek Carr (LV)","18","27","66.7","341","12.6","2","0","2","2","-1","0","0","1","21.5","21.5","58.1%"
"12","Teddy Bridgewater (DEN)","35","49","71.4","334","6.8","3","3","5","2","9","0","1","1","21.3","21.3","15.6%"
"13","Tom Brady (FA)","34","42","81.0","297","7.1","2","1","0","4","1","0","0","1","19.0","19.0","99.1%"
"14","Carson Wentz (IND)","11","20","55.0","223","11.2","2","0","2","2","1","0","0","1","17.0","17.0","44.0%"
"15","Sam Darnold (CAR)","17","41","41.5","207","5.0","1","1","4","4","48","0","1","1","16.1","16.1","5.5%"
