"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Sam Darnold (CAR)","26","39","66.7","301","7.7","2","2","5","6","35","2","0","1","33.5","33.5","5.5%"
"2","Patrick Mahomes II (KC)","24","30","80.0","267","8.9","5","1","1","5","26","0","0","1","32.3","32.3","100.0%"
"3","Matt Ryan (ATL)","25","42","59.5","283","6.7","4","0","1","1","17","0","0","1","29.0","29.0","36.3%"
"4","Jalen Hurts (PHI)","32","48","66.7","387","8.1","2","0","3","8","47","0","0","1","28.2","28.2","94.4%"
"5","Taylor Heinicke (WAS)","23","33","69.7","290","8.8","3","0","1","5","43","0","0","1","27.9","27.9","21.2%"
"6","Daniel Jones (NYG)","28","40","70.0","402","10.1","2","1","0","4","27","0","0","1","27.8","27.8","13.6%"
"7","Dak Prescott (DAL)","14","22","63.6","188","8.5","4","0","0","4","35","0","0","1","27.0","27.0","98.2%"
"8","Aaron Rodgers (GB)","20","36","55.6","248","6.9","2","0","3","3","2","1","0","1","24.1","24.1","97.4%"
"9","Kyler Murray (ARI)","24","32","75.0","268","8.4","2","0","3","6","39","0","0","1","22.6","22.6","99.3%"
"10","Russell Wilson (SEA)","16","23","69.6","149","6.5","2","0","3","4","26","1","0","1","22.6","22.6","90.4%"
"11","Joe Burrow (CIN)","25","32","78.1","348","10.9","2","0","1","3","4","0","0","1","22.3","22.3","88.3%"
"12","Justin Herbert (LAC)","25","38","65.8","222","5.8","3","0","2","3","4","0","0","1","21.3","21.3","98.8%"
"13","Josh Allen (BUF)","20","30","66.7","248","8.3","2","1","1","6","41","0","0","1","21.0","21.0","100.0%"
"14","Trey Lance (SF)","9","18","50.0","157","8.7","2","0","1","7","41","0","0","1","20.4","20.4","26.3%"
"15","Matthew Stafford (LAR)","26","41","63.4","280","6.8","2","1","0","6","21","0","0","1","20.3","20.3","97.2%"
"16","Lamar Jackson (BAL)","22","37","59.5","316","8.5","1","0","3","7","28","0","0","1","19.4","19.4","94.0%"
"17","Ryan Tannehill (TEN)","30","49","61.2","298","6.1","1","0","7","3","9","0","0","1","18.8","18.8","62.7%"
"18","Zach Wilson (NYJ)","21","34","61.8","297","8.7","2","1","1","3","-2","0","0","1","18.7","18.7","6.6%"
"19","Mac Jones (NE)","31","40","77.5","275","6.9","2","1","4","1","-1","0","0","1","17.9","17.9","28.5%"
"20","Carson Wentz (IND)","24","32","75.0","228","7.1","2","0","2","5","8","0","0","1","17.9","17.9","44.0%"
"21","Trevor Lawrence (JAC)","17","24","70.8","204","8.5","0","0","1","8","36","1","0","1","17.8","17.8","23.9%"
"22","Taysom Hill (NO)","2","3","66.7","9","3.0","0","1","0","6","28","2","0","1","16.8","16.8","53.2%"
"23","Jared Goff (DET)","24","38","63.2","299","7.9","2","0","4","3","8","0","2","1","16.8","16.8","5.3%"
"24","Derek Carr (LV)","21","34","61.8","196","5.8","2","1","4","3","6","0","0","1","15.4","15.4","58.1%"
"25","Jacoby Brissett (MIA)","20","30","66.7","199","6.6","2","0","3","3","8","0","1","1","14.8","14.8","0.6%"
"26","Jameis Winston (NO)","17","23","73.9","226","9.8","1","0","0","0","0","0","0","1","13.0","13.0","5.2%"
"27","Tom Brady (FA)","22","43","51.2","269","6.3","0","0","1","4","3","0","0","1","11.1","11.1","99.1%"
"28","Kirk Cousins (MIN)","20","38","52.6","203","5.3","1","1","2","2","0","0","0","1","11.1","11.1","70.7%"
"29","Ben Roethlisberger (FA)","26","40","65.0","232","5.8","1","1","2","0","0","0","1","1","10.3","10.3","23.8%"
"30","Jimmy Garoppolo (SF)","14","23","60.9","165","7.2","1","1","1","0","0","0","0","1","9.6","9.6","23.3%"
"31","Baker Mayfield (CLE)","15","33","45.5","155","4.7","0","0","3","2","11","0","0","1","9.3","9.3","26.4%"
"32","Justin Fields (CHI)","11","17","64.7","209","12.3","0","1","1","3","9","0","0","1","8.3","8.3","21.0%"
"33","Mitchell Trubisky (BUF)","1","1","100.0","8","8.0","0","0","0","4","10","1","0","1","7.3","7.3","0.4%"
"34","Teddy Bridgewater (DEN)","7","16","43.8","65","4.1","1","0","2","1","2","0","0","1","6.8","6.8","15.6%"
"35","Drew Lock (DEN)","12","21","57.1","113","5.4","0","1","3","0","0","0","0","1","3.5","3.5","1.5%"
"36","Feleipe Franks (ATL)","0","0","0","0","0","0","0","0","1","3","0","0","1","0.3","0.3","0.0%"
"37","Kyle Trask (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"38","Sam Ehlinger (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"39","Reid Sinnett (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"40","Ben DiNucci (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"41","Jalen Morton (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"42","Chad Henne (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"43","Ian Book (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"44","Brian Lewerke (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"45","Dwayne Haskins (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"46","Brian Brohm (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
