,Player,SACK,INT,FR,FF,TD,SAFETY,PA,YDS AGN,FPTS
0,New England Patriots,2.0,1.0,0.6,0.8,0.2,0.0,12.1,307.4,10.1
1,Tampa Bay Buccaneers,3.2,1.1,0.6,0.7,0.2,0.0,16.7,306.9,8.8
2,New Orleans Saints,2.7,1.0,0.6,0.7,0.2,0.1,15.4,317.0,8.2
3,Green Bay Packers,2.4,1.2,0.6,0.8,0.2,0.1,17.2,331.1,8.0
4,Philadelphia Eagles,2.5,1.0,0.6,0.7,0.2,0.0,19.4,320.3,7.9
5,Chicago Bears,2.1,1.0,0.5,0.8,0.2,0.1,16.6,319.2,7.4
6,San Francisco 49ers,2.6,0.8,0.5,1.0,0.2,0.1,15.4,315.2,7.4
7,Buffalo Bills,2.4,0.8,0.6,0.6,0.2,0.0,14.9,308.6,7.2
8,Seattle Seahawks,2.0,1.0,0.5,0.7,0.2,0.1,15.6,320.9,7.1
9,Kansas City Chiefs,3.1,0.9,0.6,0.9,0.2,0.0,24.0,363.4,7.1
10,Indianapolis Colts,2.2,0.8,0.6,0.8,0.1,0.0,18.9,349.5,6.9
11,Tennessee Titans,2.0,0.9,0.6,0.8,0.1,0.0,19.2,340.1,6.9
12,Dallas Cowboys,2.5,0.9,0.7,1.1,0.2,0.0,22.2,372.0,6.8
13,Miami Dolphins,2.7,0.8,0.6,1.0,0.1,0.0,21.8,333.5,6.6
14,Pittsburgh Steelers,2.5,0.9,0.6,0.9,0.2,0.0,20.0,352.3,6.5
15,Los Angeles Rams,2.8,0.8,0.6,0.7,0.1,0.0,20.7,337.6,6.5
16,Los Angeles Chargers,2.1,1.0,0.6,1.0,0.2,0.0,20.0,329.1,6.4
17,New York Giants,2.2,0.9,0.5,0.8,0.2,0.0,20.8,325.6,6.1
18,Carolina Panthers,2.3,0.8,0.5,0.7,0.2,0.0,21.8,326.2,6.0
19,Houston Texans,2.0,0.7,0.6,0.9,0.1,0.0,26.7,344.5,5.6
20,Cleveland Browns,2.1,0.8,0.5,0.7,0.1,0.0,22.1,327.4,5.5
21,Arizona Cardinals,2.1,0.7,0.5,1.0,0.1,0.0,26.7,382.0,5.5
22,Las Vegas Raiders,2.2,0.6,0.6,0.7,0.1,0.0,26.8,345.6,5.3
23,Denver Broncos,1.9,0.8,0.5,0.7,0.1,0.0,25.1,379.8,5.3
24,Washington Commanders,2.0,0.7,0.6,0.7,0.1,0.0,24.6,351.1,5.3
25,Detroit Lions,2.4,0.5,0.5,0.7,0.1,0.0,23.7,341.1,5.3
26,Atlanta Falcons,1.7,0.8,0.6,0.8,0.1,0.0,29.1,375.5,5.2
27,Cincinnati Bengals,1.9,0.7,0.5,0.9,0.1,0.0,25.2,383.5,5.2
28,Baltimore Ravens,1.9,0.8,0.5,0.6,0.1,0.0,25.0,386.8,5.2
29,Jacksonville Jaguars,1.7,0.7,0.5,0.5,0.1,0.0,27.2,341.8,5.0
30,New York Jets,1.6,0.7,0.6,0.9,0.1,0.0,29.4,396.7,4.8
31,Minnesota Vikings,1.9,0.5,0.5,0.8,0.1,0.0,26.5,377.5,4.7
