,Player,SACK,INT,FR,FF,TD,SAFETY,PA,YDS AGN,FPTS
0,Philadelphia Eagles,3.2,1.3,0.5,0.7,0.2,0.0,19.7,316.1,8.9
1,Indianapolis Colts,2.8,0.9,0.6,1.1,0.2,0.0,18.0,306.1,7.8
2,Arizona Cardinals,2.6,0.8,0.7,1.3,0.2,0.0,17.2,301.4,7.6
3,Buffalo Bills,2.2,1.0,0.6,0.9,0.2,0.0,18.9,316.3,7.5
4,Miami Dolphins,2.2,1.0,0.6,1.1,0.2,0.0,16.9,326.0,7.5
5,Los Angeles Rams,2.2,1.0,0.6,0.9,0.2,0.0,16.5,305.2,7.5
6,Pittsburgh Steelers,3.0,1.0,0.6,0.9,0.2,0.1,23.7,386.9,7.2
7,Kansas City Chiefs,2.6,0.8,0.5,0.9,0.2,0.0,19.5,348.3,7.2
8,Tampa Bay Buccaneers,2.4,1.0,0.6,1.1,0.2,0.0,20.3,311.9,6.8
9,Minnesota Vikings,2.2,0.8,0.6,0.9,0.2,0.0,19.5,318.3,6.7
10,Los Angeles Chargers,2.6,0.9,0.6,0.9,0.2,0.0,25.7,342.1,6.6
11,Las Vegas Raiders,2.3,0.9,0.7,1.0,0.2,0.0,22.5,341.3,6.6
12,Dallas Cowboys,2.5,0.9,0.6,0.9,0.2,0.0,20.9,332.8,6.5
13,Seattle Seahawks,2.3,0.9,0.7,1.0,0.2,0.0,22.0,356.4,6.5
14,Chicago Bears,2.4,0.8,0.7,0.8,0.2,0.0,24.6,359.4,6.4
15,New England Patriots,1.9,1.0,0.6,0.9,0.1,0.0,22.1,361.3,6.1
16,New York Giants,2.0,0.9,0.6,1.1,0.1,0.0,22.3,335.1,6.0
17,Houston Texans,2.2,0.7,0.7,1.0,0.1,0.1,27.4,374.7,5.7
18,New York Jets,2.3,0.7,0.7,1.0,0.1,0.0,24.5,358.3,5.7
19,San Francisco 49ers,2.7,0.6,0.5,0.9,0.1,0.0,20.7,303.7,5.7
20,Cincinnati Bengals,2.0,0.8,0.5,0.7,0.1,0.0,23.5,386.7,5.6
21,Washington Commanders,1.9,0.7,0.6,0.9,0.1,0.1,24.5,369.6,5.5
22,Baltimore Ravens,1.9,0.7,0.6,1.0,0.2,0.0,20.8,331.6,5.5
23,New Orleans Saints,1.9,0.8,0.5,0.8,0.1,0.0,24.5,386.3,5.5
24,Denver Broncos,1.8,0.7,0.6,0.9,0.1,0.0,26.3,395.1,5.3
25,Atlanta Falcons,1.3,0.7,0.6,0.9,0.1,0.0,29.4,391.2,4.8
26,Detroit Lions,1.7,0.6,0.5,0.7,0.1,0.0,26.2,386.5,4.7
27,Jacksonville Jaguars,1.6,0.7,0.5,0.6,0.1,0.0,28.8,392.1,4.7
