,Player,SACK,INT,FR,FF,TD,SAFETY,PA,YDS AGN,FPTS
0,Miami Dolphins,3.0,1.2,0.5,0.9,0.2,0.0,16.6,305.2,8.8
1,Buffalo Bills,2.4,1.2,0.6,0.9,0.2,0.0,15.2,299.3,8.4
2,Green Bay Packers,2.7,1.1,0.6,1.0,0.2,0.0,20.0,345.9,8.2
3,Dallas Cowboys,2.4,1.1,0.6,1.2,0.2,0.0,16.6,311.4,8.2
4,Arizona Cardinals,2.7,0.8,0.8,1.3,0.2,0.0,16.8,298.2,8.0
5,Philadelphia Eagles,2.5,1.0,0.7,0.9,0.2,0.0,18.2,318.8,7.9
6,Tampa Bay Buccaneers,2.5,1.0,0.6,1.1,0.2,0.0,19.1,321.4,7.7
7,Minnesota Vikings,3.2,1.1,0.6,0.7,0.2,0.0,20.8,319.9,7.6
8,Los Angeles Rams,2.9,0.7,0.6,0.7,0.2,0.1,19.5,309.8,7.6
9,San Francisco 49ers,2.3,0.9,0.7,1.1,0.2,0.0,18.2,322.9,7.5
10,Jacksonville Jaguars,2.4,0.9,0.5,0.7,0.2,0.0,17.2,311.6,7.2
11,Pittsburgh Steelers,2.7,0.9,0.7,1.0,0.2,0.0,21.8,351.4,6.8
12,Denver Broncos,2.6,1.0,0.5,0.8,0.2,0.0,21.5,350.2,6.7
13,Cleveland Browns,2.3,0.8,0.7,1.0,0.2,0.0,21.0,350.4,6.3
14,Kansas City Chiefs,2.2,0.9,0.6,0.9,0.2,0.0,24.6,385.6,6.3
15,New England Patriots,2.1,0.8,0.7,0.9,0.2,0.1,22.7,343.5,6.2
16,Carolina Panthers,2.1,0.8,0.7,1.0,0.1,0.0,26.4,361.1,6.1
17,Houston Texans,2.1,0.9,0.7,1.0,0.2,0.0,20.7,334.7,6.1
18,Cincinnati Bengals,2.4,0.8,0.6,0.9,0.2,0.0,22.4,344.5,6.1
19,Indianapolis Colts,2.1,0.8,0.7,1.1,0.2,0.0,21.9,327.8,6.1
20,Tennessee Titans,2.2,0.8,0.5,0.8,0.2,0.0,22.4,331.0,5.9
21,Los Angeles Chargers,2.1,0.8,0.6,1.1,0.2,0.0,25.4,375.9,5.9
22,Las Vegas Raiders,2.1,0.9,0.6,0.9,0.1,0.0,20.8,346.8,5.8
23,Atlanta Falcons,1.9,0.8,0.7,1.1,0.2,0.0,26.6,372.2,5.8
24,New York Jets,2.1,0.7,0.6,1.0,0.2,0.0,25.8,351.8,5.7
25,New York Giants,2.0,0.8,0.6,0.9,0.1,0.0,24.4,388.5,5.7
26,Chicago Bears,2.1,0.6,0.6,0.9,0.2,0.0,25.3,381.5,5.6
27,Washington Commanders,2.0,0.7,0.6,0.9,0.2,0.0,24.9,337.1,5.6
28,Detroit Lions,2.0,0.8,0.6,0.6,0.1,0.0,28.9,388.6,5.5
29,New Orleans Saints,1.8,0.9,0.5,0.7,0.1,0.0,27.2,368.9,5.4
30,Seattle Seahawks,1.8,0.8,0.4,0.7,0.2,0.0,24.9,373.7,5.2
31,Baltimore Ravens,2.0,0.5,0.6,0.9,0.1,0.0,24.8,381.0,4.8
