,Player,SACK,INT,FR,FF,TD,SAFETY,PA,YDS AGN,FPTS
0,Baltimore Ravens,3.5,1.1,0.7,0.7,0.2,0.0,19.7,302.0,9.1
1,Tennessee Titans,2.9,0.9,0.6,0.9,0.2,0.1,16.8,305.4,8.1
2,Tampa Bay Buccaneers,2.8,0.9,0.7,1.2,0.2,0.0,18.9,321.5,8.0
3,Carolina Panthers,2.4,1.0,0.7,1.0,0.2,0.0,19.1,317.4,7.9
4,Cleveland Browns,2.6,0.9,0.6,0.7,0.2,0.0,16.2,309.9,7.7
5,Buffalo Bills,2.3,0.8,0.7,1.0,0.2,0.1,19.5,323.8,7.3
6,New England Patriots,2.2,1.0,0.5,0.7,0.2,0.0,19.9,331.4,7.2
7,San Francisco 49ers,1.9,0.9,0.6,1.0,0.2,0.0,19.0,315.6,6.9
8,Miami Dolphins,2.5,1.0,0.6,1.0,0.2,0.0,20.4,332.1,6.6
9,Washington Commanders,2.7,0.9,0.5,0.8,0.2,0.0,23.4,340.7,6.6
10,Las Vegas Raiders,2.7,0.9,0.6,0.9,0.1,0.0,24.3,351.2,6.6
11,Chicago Bears,2.4,1.0,0.6,0.8,0.2,0.1,20.9,353.6,6.5
12,New York Jets,2.3,0.9,0.7,1.1,0.2,0.0,24.0,355.7,6.4
13,Seattle Seahawks,2.4,0.9,0.6,0.7,0.2,0.0,20.3,334.9,6.4
14,Arizona Cardinals,3.0,0.6,0.7,1.2,0.1,0.0,22.8,315.5,6.4
15,New Orleans Saints,2.1,0.8,0.6,0.8,0.1,0.0,21.4,329.0,5.9
16,Indianapolis Colts,2.0,0.8,0.7,1.1,0.1,0.0,27.1,386.9,5.8
17,Cincinnati Bengals,2.1,0.8,0.6,0.7,0.1,0.1,24.6,375.4,5.7
18,Pittsburgh Steelers,2.2,0.7,0.6,0.8,0.1,0.0,25.3,369.9,5.7
19,Jacksonville Jaguars,1.9,0.8,0.6,0.9,0.1,0.0,24.8,379.8,5.7
20,Philadelphia Eagles,2.4,0.7,0.5,0.8,0.1,0.0,21.0,327.0,5.6
21,Dallas Cowboys,1.9,0.8,0.6,1.1,0.1,0.0,26.9,404.6,5.6
22,Houston Texans,2.3,0.7,0.6,1.0,0.1,0.0,27.8,373.4,5.6
23,Kansas City Chiefs,2.0,0.8,0.6,0.9,0.1,0.0,25.6,412.4,5.6
24,Green Bay Packers,1.9,0.7,0.6,0.9,0.1,0.0,22.9,364.4,5.5
25,Detroit Lions,2.2,0.7,0.6,0.8,0.1,0.0,26.8,377.6,5.5
26,Atlanta Falcons,1.8,0.7,0.6,1.0,0.1,0.0,26.4,358.2,5.4
27,Los Angeles Chargers,1.7,0.7,0.5,0.9,0.1,0.0,20.9,332.5,5.0
28,New York Giants,1.6,0.7,0.5,0.9,0.1,0.0,29.2,375.5,5.0
29,Minnesota Vikings,2.1,0.5,0.5,0.9,0.1,0.0,23.5,360.6,4.9
