,Player,SACK,INT,FR,FF,TD,SAFETY,PA,YDS AGN,FPTS
0,Tampa Bay Buccaneers,3.0,1.1,0.6,0.7,0.2,0.1,16.0,311.2,8.7
1,Buffalo Bills,3.1,1.0,0.5,0.6,0.2,0.1,13.5,294.9,8.4
2,Tennessee Titans,2.7,0.9,0.5,0.8,0.2,0.0,16.1,304.6,7.5
3,Cleveland Browns,2.4,0.9,0.5,0.8,0.2,0.1,17.7,320.5,7.5
4,New England Patriots,2.2,1.0,0.6,0.9,0.2,0.0,17.4,335.8,7.4
5,Minnesota Vikings,2.4,1.0,0.5,0.9,0.2,0.1,19.7,334.3,7.4
6,Kansas City Chiefs,2.3,0.9,0.5,0.8,0.2,0.0,18.5,328.3,7.3
7,Indianapolis Colts,2.0,1.0,0.5,0.8,0.2,0.0,14.8,307.1,7.3
8,Washington Commanders,2.4,0.9,0.5,0.6,0.2,0.0,16.9,321.9,7.1
9,New Orleans Saints,2.5,0.7,0.6,0.7,0.1,0.0,17.1,311.0,7.1
10,Arizona Cardinals,2.6,0.6,0.5,0.9,0.1,0.1,19.9,328.8,6.8
11,Los Angeles Rams,2.6,0.9,0.6,0.7,0.2,0.0,20.4,364.9,6.8
12,Green Bay Packers,1.9,1.0,0.4,0.7,0.1,0.0,19.9,313.1,6.6
13,Pittsburgh Steelers,2.9,0.7,0.6,1.0,0.1,0.0,22.7,344.7,6.5
14,New York Giants,2.2,1.0,0.6,0.7,0.2,0.0,20.8,336.5,6.5
15,Baltimore Ravens,2.0,0.7,0.5,0.6,0.1,0.0,19.7,342.3,6.4
16,Seattle Seahawks,2.2,0.8,0.7,0.7,0.2,0.0,25.4,381.0,6.2
17,Houston Texans,2.4,0.7,0.7,0.9,0.1,0.0,25.2,359.5,6.0
18,Los Angeles Chargers,2.1,0.8,0.6,1.0,0.1,0.0,22.5,361.8,5.9
19,Atlanta Falcons,2.2,0.8,0.5,0.7,0.2,0.0,21.7,334.9,5.9
20,Dallas Cowboys,2.3,0.7,0.7,0.9,0.1,0.0,20.1,327.4,5.9
21,Miami Dolphins,2.1,0.8,0.5,0.9,0.2,0.0,22.9,337.9,5.8
22,Philadelphia Eagles,2.0,0.8,0.6,0.7,0.1,0.0,24.5,344.7,5.6
23,Cincinnati Bengals,2.2,0.7,0.6,0.7,0.1,0.0,21.2,341.2,5.5
24,Chicago Bears,2.0,0.7,0.6,0.9,0.1,0.0,24.0,353.6,5.5
25,San Francisco 49ers,2.0,0.8,0.5,1.0,0.1,0.0,24.4,361.5,5.5
26,New York Jets,1.8,0.8,0.6,0.9,0.1,0.0,29.3,388.8,5.3
27,Las Vegas Raiders,2.0,0.8,0.5,0.8,0.1,0.0,24.9,369.0,5.3
28,Detroit Lions,2.1,0.7,0.6,0.7,0.1,0.0,24.4,361.8,5.3
29,Carolina Panthers,1.7,0.7,0.5,0.8,0.1,0.0,25.9,362.5,4.9
30,Jacksonville Jaguars,1.9,0.6,0.5,0.6,0.1,0.0,27.2,354.1,4.9
31,Denver Broncos,1.7,0.7,0.5,0.7,0.1,0.0,25.4,374.9,4.8
