,Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
0,1,Aaron Rodgers(GB),25,31,80.6,429,13.8,5,0,1,2,6,1,0,1,43.8,43.8,97.4%
1,2,Matthew Stafford(LAR),30,45,66.7,364,8.1,4,1,2,0,0,0,0,1,29.6,29.6,97.2%
2,3,Kirk Cousins(MIN),24,34,70.6,338,9.9,4,0,0,4,-3,0,0,1,29.2,29.2,70.7%
3,4,Jacoby Brissett(MIA),26,39,66.7,326,8.4,4,0,1,5,6,0,1,1,27.6,27.6,0.6%
4,5,Jared Goff(DET),22,37,59.5,268,7.2,2,0,0,3,3,1,0,1,25.0,25.0,5.3%
5,6,Lamar Jackson(BAL),9,20,45.0,143,7.2,0,0,1,14,116,1,0,1,23.3,23.3,94.0%
6,7,Ryan Fitzpatrick(WAS),23,35,65.7,282,8.1,1,1,0,6,13,1,0,1,21.6,21.6,6.1%
7,8,Dak Prescott(DAL),21,27,77.8,239,8.9,1,1,3,5,30,1,0,1,21.6,21.6,98.2%
8,9,Andy Dalton(CHI),22,43,51.2,276,6.4,1,3,2,4,33,1,0,1,21.3,21.3,1.6%
9,10,Josh Allen(BUF),16,26,61.5,202,7.8,2,0,2,4,32,0,0,1,21.3,21.3,100.0%
10,11,Philip Rivers(FA),24,38,63.2,329,8.7,2,0,1,0,0,0,0,1,21.2,21.2,20.6%
11,12,Gardner Minshew II(PHI),15,32,46.9,255,8.0,1,0,2,9,48,0,0,1,21.0,21.0,2.2%
12,13,Ryan Tannehill(TEN),23,29,79.3,312,10.8,2,1,2,5,7,0,0,1,20.2,20.2,62.7%
13,14,Mitchell Trubisky(BUF),34,54,63.0,251,4.6,2,0,2,0,0,0,0,1,20.0,20.0,0.4%
14,15,Teddy Bridgewater(DEN),23,38,60.5,281,7.4,2,0,1,4,7,0,0,1,19.9,19.9,15.6%
15,16,Deshaun Watson(HOU),23,34,67.6,308,9.1,1,2,3,3,32,0,0,1,17.5,17.5,5.0%
16,17,Derek Carr(LV),22,28,78.6,293,10.5,2,1,0,2,0,0,1,1,16.7,16.7,58.1%
17,18,Russell Wilson(SEA),20,41,48.8,241,5.9,1,1,1,3,27,0,0,1,15.3,15.3,90.4%
