,Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
0,1,Deshaun Watson(HOU),28,33,84.8,426,12.9,5,0,0,4,47,0,0,1,41.7,41.7,5.0%
1,2,Matt Ryan(ATL),32,46,69.6,330,7.2,3,1,2,3,7,1,0,1,32.9,32.9,36.3%
2,3,Russell Wilson(SEA),17,23,73.9,268,11.7,4,0,1,8,32,0,0,1,29.9,29.9,90.4%
3,4,Teddy Bridgewater(DEN),26,34,76.5,314,9.2,4,1,0,5,7,0,0,1,28.3,28.3,15.6%
4,5,Dak Prescott(DAL),27,44,61.4,463,10.5,2,3,3,4,27,0,0,1,26.2,26.2,98.2%
5,6,Kyler Murray(ARI),20,32,62.5,253,7.9,0,0,1,10,93,1,0,1,25.4,25.4,99.3%
6,7,Tom Brady(FA),28,42,66.7,348,8.3,3,1,4,0,0,0,0,1,24.9,24.9,99.1%
7,8,Gardner Minshew II(PHI),26,44,59.1,374,8.5,2,0,2,7,42,0,3,1,21.2,21.2,2.2%
8,9,Kirk Cousins(MIN),22,27,81.5,306,11.3,2,0,3,3,3,0,0,1,20.5,20.5,70.7%
9,10,Andy Dalton(CHI),27,38,71.1,262,6.9,2,0,1,2,5,0,0,1,19.0,19.0,1.6%
10,11,Jared Goff(DET),29,49,59.2,395,8.1,1,1,0,1,1,0,0,1,18.9,18.9,5.3%
11,12,Josh Allen(BUF),23,32,71.9,219,6.8,2,1,4,10,27,0,0,1,18.5,18.5,100.0%
12,13,Patrick Mahomes II(KC),22,39,56.4,321,8.2,1,0,4,3,17,0,0,1,18.5,18.5,100.0%
13,14,Jameis Winston(NO),15,27,55.6,204,7.6,2,0,6,3,13,0,0,1,17.5,17.5,5.2%
14,15,Chase Daniel(LAC),22,30,73.3,231,7.7,2,2,4,1,2,0,0,1,15.4,15.4,0.1%
15,16,Jimmy Garoppolo(SF),20,29,69.0,181,6.2,2,0,2,4,-3,0,0,1,14.9,14.9,23.3%
16,17,Lamar Jackson(BAL),19,28,67.9,161,5.8,1,3,5,14,70,0,0,1,14.4,14.4,94.0%
17,18,Carson Wentz(IND),17,29,58.6,189,6.5,1,0,1,2,5,0,0,1,12.1,12.1,44.0%
18,19,Jacoby Brissett(MIA),18,29,62.1,151,5.2,0,1,0,6,9,1,0,1,11.9,11.9,0.6%
19,20,Kyle Allen(WAS),17,30,56.7,181,6.0,1,0,3,1,4,0,0,1,11.6,11.6,0.1%
20,21,Daniel Jones(NYG),21,38,55.3,182,4.8,1,1,4,3,12,0,0,1,11.5,11.5,13.6%
21,22,Aaron Rodgers(GB),22,34,64.7,238,7.0,0,0,2,4,-1,0,0,1,9.4,9.4,97.4%
22,23,Mason Rudolph(PIT),13,20,65.0,131,6.6,1,0,1,0,0,0,0,1,9.2,9.2,0.3%
23,24,Joe Flacco(NYJ),14,20,70.0,182,9.1,1,1,3,3,7,0,1,1,9.0,9.0,0.3%
24,25,Marcus Mariota(LV),13,22,59.1,183,8.3,0,0,5,5,13,0,0,1,8.6,8.6,0.2%
25,26,Derek Carr(LV),25,32,78.1,229,7.2,0,0,0,3,8,0,1,1,8.0,8.0,58.1%
26,27,Philip Rivers(FA),32,48,66.7,211,4.4,0,2,0,1,-3,0,0,1,6.1,6.1,20.6%
27,28,Colt McCoy(ARI),18,27,66.7,122,4.5,0,1,6,2,14,0,0,1,5.3,5.3,0.4%
28,29,Devlin Hodges(FA),7,9,77.8,68,7.6,0,0,0,2,20,0,0,1,4.7,4.7,0.0%
29,30,Taysom Hill(NO),1,1,100.0,18,18.0,0,0,0,2,14,0,0,1,2.1,2.1,53.2%
30,31,Luke Falk(FA),15,26,57.7,120,4.6,0,2,9,0,0,0,1,1,0.8,0.8,0.1%
31,32,Feleipe Franks(ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
32,33,Trey Lance(SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.3%
33,34,Jalen Morton(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
34,35,Trevor Lawrence(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9%
35,36,Justin Fields(CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0%
36,37,Kyle Trask(TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
37,38,Sam Ehlinger(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
38,39,Ben DiNucci(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
39,40,Reid Sinnett(PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
40,41,Mac Jones(NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5%
41,42,Ian Book(NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8%
42,43,Brian Lewerke(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
43,44,Drew Lock(DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5%
44,45,Will Grier(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
45,46,Brett Rypien(DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
46,47,Easton Stick(LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
47,48,Trace McSorley(ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3%
48,49,Eric Dungey(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
