"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Michael Thomas (NO)","149","185","1,725","11.6","49","17","9","1","-9","0","0","16","225.6","14.1","20.6%"
"2","Chris Godwin (TB)","86","121","1,333","15.5","71","25","9","1","8","0","0","14","190.1","13.6","67.1%"
"3","Kenny Golladay (NYG)","65","116","1,190","18.3","75","22","11","0","0","0","1","16","183.0","11.4","51.8%"
"4","Cooper Kupp (LAR)","94","134","1,161","12.4","66","21","10","2","4","0","0","16","176.5","11.0","100.0%"
"5","Julio Jones (TEN)","99","157","1,394","14.1","54","21","6","2","-3","0","0","15","175.1","11.7","60.7%"
"6","DeVante Parker (MIA)","72","128","1,202","16.7","51","21","9","0","0","0","0","16","174.2","10.9","64.3%"
"7","Amari Cooper (DAL)","79","119","1,189","15.1","53","17","8","1","6","0","0","16","167.5","10.5","97.7%"
"8","Mike Evans (TB)","67","118","1,157","17.3","67","17","8","0","0","0","0","13","165.7","12.7","97.8%"
"9","DeAndre Hopkins (ARI)","104","150","1,165","11.2","43","16","7","2","18","0","0","15","165.5","11.0","69.3%"
"10","A.J. Brown (TEN)","52","84","1,051","20.2","91","15","8","3","60","1","0","16","165.1","10.3","97.8%"
"11","Keenan Allen (LAC)","104","149","1,199","11.5","45","15","6","3","16","0","0","16","157.5","9.8","99.3%"
"12","Allen Robinson II (CHI)","98","154","1,147","11.7","49","15","7","1","2","0","0","16","156.9","9.8","53.7%"
"13","Julian Edelman (FA)","100","153","1,117","11.2","44","13","6","8","27","0","1","16","156.3","9.8","13.1%"
"14","Jarvis Landry (CLE)","83","138","1,174","14.1","65","20","6","1","10","0","0","16","154.4","9.7","72.5%"
"15","Tyler Lockett (SEA)","82","110","1,057","12.9","44","15","8","4","-5","0","0","16","153.2","9.6","97.5%"
"16","D.J. Chark Jr. (JAC)","73","118","1,008","13.8","69","17","8","2","20","0","0","15","152.8","10.2","17.9%"
"17","Courtland Sutton (DEN)","72","124","1,112","15.4","70","18","6","3","17","0","0","16","150.4","9.4","67.5%"
"18","Stefon Diggs (BUF)","63","94","1,130","17.9","66","20","6","5","61","0","3","15","149.1","9.9","100.0%"
"19","John Brown (FA)","72","115","1,060","14.7","53","17","6","2","7","0","0","15","147.8","9.9","1.3%"
"20","Michael Gallup (DAL)","66","113","1,107","16.8","62","18","6","0","0","0","0","14","146.7","10.5","72.8%"
"21","DJ Moore (CAR)","87","135","1,175","13.5","52","13","4","6","40","0","1","15","143.5","9.6","95.7%"
"22","Robert Woods (LAR)","90","139","1,134","12.6","48","14","2","17","115","1","0","15","142.9","9.5","29.9%"
"23","Calvin Ridley (ATL)","63","93","866","13.7","36","12","7","2","34","0","0","13","134.0","10.3","56.8%"
"24","Terry McLaurin (WAS)","58","93","919","15.8","75","15","7","0","0","0","0","14","133.9","9.6","97.0%"
"25","Tyler Boyd (CIN)","90","148","1,046","11.6","47","12","5","4","23","0","2","16","132.9","8.3","71.3%"
"26","Deebo Samuel (SF)","57","81","802","14.1","42","17","3","14","159","3","1","15","132.1","8.8","98.8%"
"27","Marvin Jones Jr. (JAC)","62","91","779","12.6","47","12","9","2","0","0","0","13","131.9","10.1","55.4%"
"28","Tyreek Hill (KC)","58","89","860","14.8","57","11","7","8","23","0","0","12","130.3","10.9","100.0%"
"29","Davante Adams (GB)","83","127","997","12.0","58","12","5","0","0","0","1","12","129.7","10.8","100.0%"
"30","D.K. Metcalf (SEA)","58","100","900","15.5","54","13","7","2","11","0","3","16","129.1","8.1","98.9%"
"31","Odell Beckham Jr. (LAR)","74","133","1,035","14.0","89","16","4","3","10","0","1","16","127.3","8.0","90.8%"
