,Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
0,1,DeAndre Hopkins(ARI),96,174,"1,378",14.4,72,24,13,0,0,0,1,15,213.8,14.3,69.3%
1,2,Antonio Brown(FA),101,163,"1,533",15.2,57,27,9,0,0,0,0,14,209.3,15.0,84.1%
2,3,Keenan Allen(LAC),102,159,"1,393",13.7,51,18,6,2,9,0,0,16,182.2,11.4,99.3%
3,4,Tyreek Hill(KC),75,105,"1,183",15.8,79,15,7,17,59,0,0,15,164.2,10.9,100.0%
4,5,Marvin Jones Jr.(JAC),61,107,"1,101",18.0,58,20,9,0,0,0,0,16,164.1,10.3,55.4%
5,6,Julio Jones(TEN),88,148,"1,444",16.4,53,23,3,1,15,0,0,16,163.9,10.2,60.7%
6,7,Brandin Cooks(HOU),65,114,"1,082",16.6,64,18,7,9,40,0,0,16,156.2,9.8,92.7%
7,8,Michael Thomas(NO),104,149,"1,245",12.0,43,22,5,0,0,0,0,16,154.5,9.7,20.6%
8,9,Larry Fitzgerald(FA),109,161,"1,156",10.6,37,16,6,0,0,0,1,16,152.4,9.5,0.3%
9,10,A.J. Green(ARI),75,143,"1,078",14.4,77,9,8,0,0,0,2,16,151.8,9.5,51.8%
10,11,Doug Baldwin(FA),75,116,991,13.2,54,18,8,2,-8,0,0,16,150.3,9.4,0.0%
11,12,Adam Thielen(MIN),91,142,"1,276",14.0,65,20,4,1,11,0,2,16,148.8,9.3,82.7%
12,13,Davante Adams(GB),74,117,885,12.0,55,8,10,0,0,0,0,14,148.5,10.6,100.0%
13,14,Jarvis Landry(CLE),112,161,987,8.8,49,6,9,1,-7,0,2,16,148.0,9.3,72.5%
14,15,Alshon Jeffery(FA),57,120,789,13.8,53,8,9,0,0,0,0,16,138.9,8.7,0.1%
15,16,Robby Anderson(CAR),63,114,941,14.9,69,17,7,3,9,0,0,16,137.0,8.6,42.2%
16,17,Stefon Diggs(BUF),64,95,849,13.3,59,14,8,8,13,0,0,14,134.2,9.6,100.0%
17,18,JuJu Smith-Schuster(PIT),58,79,917,15.8,97,12,7,0,0,0,0,14,133.7,9.6,18.5%
18,19,Golden Tate(FA),92,120,"1,003",10.9,71,10,5,5,22,0,1,16,132.5,8.3,0.1%
19,20,Mike Evans(TB),71,136,"1,001",14.1,42,9,5,0,0,0,0,15,132.1,8.8,97.8%
20,21,Devin Funchess(FA),63,111,840,13.3,44,15,8,0,0,0,0,16,132.0,8.3,0.0%
21,22,Nelson Agholor(NE),62,95,768,12.4,72,9,8,1,7,0,0,16,131.5,8.2,13.6%
22,23,Demaryius Thomas(FA),83,140,949,11.4,40,15,5,0,0,0,1,16,122.9,7.7,0.1%
23,24,T.Y. Hilton(IND),57,109,966,16.9,80,14,4,0,0,0,1,16,118.6,7.4,16.8%
24,25,Dez Bryant(FA),69,132,838,12.1,50,8,6,1,-4,0,1,16,117.5,7.3,2.6%
25,26,Kenny Stills(NO),58,105,847,14.6,61,14,6,0,0,0,2,16,116.7,7.3,0.1%
26,27,Cooper Kupp(LAR),62,94,869,14.0,64,12,5,0,0,0,1,15,114.9,7.7,100.0%
27,28,Michael Crabtree(FA),58,101,618,10.7,41,8,8,0,0,0,0,14,113.8,8.1,0.0%
28,29,Marquise Goodwin(CHI),56,105,962,17.2,83,13,2,4,44,0,0,16,112.6,7.0,0.3%
29,30,Jermaine Kearse(FA),65,102,810,12.5,51,9,5,0,0,0,0,16,111.0,6.9,0.0%
30,31,Amari Cooper(DAL),48,96,680,14.2,87,9,7,1,4,0,0,14,110.4,7.9,97.7%
31,32,Mohamed Sanu Sr.(SF),67,96,703,10.5,25,10,5,4,10,0,0,15,107.3,7.2,0.1%
32,33,Robert Woods(LAR),56,85,781,13.9,94,12,5,2,12,0,1,12,107.3,8.9,29.9%
33,34,Sammy Watkins(BAL),39,70,593,15.2,67,9,8,0,0,0,0,15,107.3,7.2,7.0%
34,35,Ted Ginn Jr.(FA),53,70,787,14.8,54,15,4,10,39,0,0,15,106.6,7.1,0.0%
35,36,Paul Richardson Jr.(FA),44,80,703,16.0,61,13,6,0,0,0,0,16,106.3,6.6,0.0%
36,37,Rishard Matthews(FA),53,87,795,15.0,75,13,4,1,-3,0,0,14,103.2,7.4,0.0%
37,38,Mike Wallace(FA),52,92,748,14.4,66,11,4,1,4,0,0,15,99.2,6.6,0.0%
38,39,Tyrell Williams(FA),43,69,728,16.9,75,12,4,0,0,0,1,16,94.8,5.9,4.8%
39,40,Jamison Crowder(NYJ),66,103,789,12.0,41,12,3,7,34,0,3,15,94.3,6.3,23.6%
40,41,Randall Cobb(GB),66,92,653,9.9,46,7,4,9,17,0,0,15,93.4,6.2,7.6%
41,42,Marqise Lee(FA),56,96,702,12.5,45,6,3,1,17,0,0,14,91.9,6.6,0.0%
42,43,Keelan Cole Sr.(NYJ),42,83,748,17.8,75,11,3,0,0,0,1,16,90.8,5.7,1.0%
43,44,Travis Benjamin(SF),34,65,567,16.7,62,10,4,13,96,0,0,16,90.3,5.6,0.0%
44,45,DeSean Jackson(LV),50,90,668,13.4,41,10,3,3,38,0,0,14,88.6,6.3,4.4%
45,46,Kelvin Benjamin(FA),48,78,692,14.4,43,10,3,0,0,0,0,14,87.2,6.2,0.1%
46,47,Sterling Shepard(NYG),59,84,731,12.4,77,7,2,4,4,0,0,11,85.5,7.8,23.7%
47,48,Will Fuller V(MIA),28,50,423,15.1,59,7,7,2,9,0,0,10,85.2,8.5,22.8%
48,49,Josh Doctson(FA),35,78,502,14.3,52,6,6,1,-14,0,0,16,84.8,5.3,0.0%
49,50,Jordy Nelson(FA),53,88,482,9.1,58,4,6,0,0,0,0,15,84.2,5.6,0.1%
50,51,Martavis Bryant(FA),50,84,603,12.1,51,7,3,6,22,0,0,15,82.5,5.5,0.0%
51,52,Ryan Grant(FA),45,65,573,12.7,40,10,4,0,0,0,0,16,81.3,5.1,0.0%
52,53,Danny Amendola(HOU),61,86,659,10.8,27,7,2,0,0,0,0,15,77.9,5.2,0.1%
53,54,Chris Hogan(FA),34,59,439,12.9,47,6,5,3,17,0,0,9,75.6,8.4,0.0%
54,55,Albert Wilson(MIA),42,62,554,13.2,63,4,3,3,6,0,0,13,74.0,5.7,0.8%
