,Player,ATT,CMP,YDS,TDS,INTS,ATT,YDS,TDS,FL,FPTS
0,Josh AllenBUF,37.1,24.3,294.9,2.5,0.8,7.2,36.2,0.4,0.2,26.3
1,Patrick Mahomes IIKC,38.4,25.7,314.1,2.8,0.7,5.1,26.6,0.1,0.1,26.2
2,Kyler MurrayARI,34.7,22.9,264.3,1.8,0.9,6.3,33.3,0.5,0.1,22.5
3,Justin HerbertLAC,39.9,26.5,304.2,2.1,0.6,3.8,15.9,0.2,0.2,22.3
4,Dak PrescottDAL,34.8,23.6,275.6,2.1,0.8,3.8,16.8,0.1,0.2,20.6
5,Matthew StaffordLAR,35.6,24.3,289.9,2.2,0.7,2.2,8.4,0.1,0.2,20.6
6,Aaron RodgersGB,34.8,23.3,278.1,2.1,0.5,2.0,9.2,0.0,0.1,19.9
7,Taylor HeinickeWAS,34.9,22.3,256.7,1.8,1.1,5.1,25.5,0.2,0.1,19.5
8,Trevor LawrenceJAC,34.5,22.0,248.7,1.6,1.1,4.6,21.8,0.2,0.2,18.4
9,Carson WentzIND,33.7,21.8,251.6,1.8,0.8,3.5,15.5,0.1,0.3,18.3
10,Sam DarnoldCAR,36.9,23.3,258.7,1.5,0.9,4.0,17.2,0.3,0.2,18.2
11,Tua TagovailoaMIA,35.5,23.3,254.8,1.5,0.8,3.8,14.0,0.2,0.1,17.4
12,Kirk CousinsMIN,33.3,22.5,256.5,1.8,0.7,1.5,6.1,0.0,0.1,17.2
13,Ryan TannehillTEN,34.5,22.0,245.5,1.5,0.9,3.4,16.9,0.1,0.2,16.8
14,Jared GoffDET,37.8,24.6,270.9,1.5,0.9,2.5,9.0,0.1,0.3,16.7
15,Mac JonesNE,36.7,25.2,270.5,1.5,1.0,1.9,8.0,0.1,0.1,16.7
16,Derek CarrLV,35.3,22.6,266.2,1.4,0.8,2.6,8.5,0.1,0.2,16.4
17,Geno SmithSEA,33.4,21.7,247.5,1.2,1.1,3.0,15.6,0.1,0.2,15.4
18,Justin FieldsCHI,29.7,18.6,193.5,1.2,0.9,4.7,22.5,0.2,0.2,14.7
19,Davis MillsHOU,30.7,19.7,234.6,1.2,1.3,1.8,5.6,0.0,0.1,13.6
20,Jacoby BrissettMIA,1.5,1.0,20.9,0.1,0.0,0.2,0.6,0.0,0.0,1.4
21,Jeff DriskelHOU,0.0,0.0,28.3,0.1,0.1,0.0,0.2,0.0,0.0,1.3
22,Blaine GabbertTB,1.6,1.0,15.9,0.1,0.0,0.2,0.5,0.0,0.0,1.1
23,Chase DanielLAC,1.6,1.0,11.9,0.1,0.0,0.3,1.0,0.0,0.0,1.0
24,Chad HenneKC,1.5,0.9,11.3,0.1,0.0,0.2,1.2,0.0,0.0,1.0
25,Brandon AllenCIN,1.4,0.9,16.1,0.1,0.0,0.2,0.5,0.0,0.0,1.0
26,Jake LutonJAC,0.0,0.0,24.2,0.1,0.3,0.0,0.0,0.0,0.0,0.9
27,David BloughDET,1.5,0.9,10.5,0.1,0.0,0.2,1.0,0.0,0.0,0.9
28,Drew LockDEN,1.4,0.9,13.5,0.1,0.0,0.3,0.7,0.0,0.0,0.9
29,Mason RudolphPIT,1.5,1.0,10.2,0.1,0.0,0.3,0.8,0.0,0.0,0.9
30,C.J. BeathardJAC,1.3,0.8,15.3,0.1,0.1,0.3,0.7,0.0,0.1,0.8
31,Tyler HuntleyBAL,1.4,0.9,14.0,0.0,0.0,0.3,1.5,0.0,0.0,0.8
32,Brian HoyerNE,1.4,1.0,13.9,0.1,0.1,0.3,0.4,0.0,0.0,0.8
33,Jordan LoveGB,1.4,0.9,16.1,0.0,0.1,0.3,0.2,0.0,0.0,0.8
34,Mitchell TrubiskyBUF,1.5,1.0,10.9,0.1,0.0,0.3,0.6,0.0,0.0,0.8
35,Marcus MariotaLV,1.4,0.9,10.6,0.1,0.0,0.3,0.6,0.0,0.0,0.8
36,P.J. WalkerCAR,1.4,0.9,10.3,0.1,0.1,0.3,0.2,0.0,0.0,0.7
37,Cooper RushDAL,1.0,0.6,11.9,0.1,0.1,0.1,0.2,0.0,0.0,0.7
38,Case KeenumCLE,1.2,0.8,9.9,0.1,0.0,0.2,0.4,0.0,0.0,0.7
39,Colt McCoyARI,1.4,0.9,10.9,0.1,0.0,0.2,0.3,0.0,0.0,0.7
40,Kyle AllenWAS,1.4,0.9,10.3,0.1,0.1,0.1,0.3,0.0,0.0,0.7
41,Andy DaltonCHI,1.5,0.9,9.9,0.1,0.1,0.1,0.3,0.0,0.0,0.6
42,John WolfordLAR,1.4,0.9,11.5,0.0,0.0,0.2,0.5,0.0,0.0,0.6
43,Logan WoodsideTEN,0.7,0.5,6.3,0.0,0.0,0.3,0.5,0.0,0.0,0.4
44,Sean MannionMIN,0.6,0.3,3.6,0.0,0.0,0.1,0.1,0.0,0.0,0.2
