,Player,ATT,CMP,YDS,TDS,INTS,ATT,YDS,TDS,FL,FPTS
0,Josh AllenBUF,37.6,24.1,291.3,2.2,0.7,6.9,33.9,0.4,0.3,25.1
1,Patrick Mahomes IIKC,39.8,26.8,317.0,2.4,0.5,4.2,20.6,0.2,0.1,24.5
2,Kyler MurrayARI,36.4,23.9,270.6,2.0,0.9,6.9,40.7,0.4,0.2,24.3
3,Russell WilsonSEA,34.9,23.6,279.0,2.4,0.4,4.8,27.1,0.1,0.2,23.1
4,Aaron RodgersGB,34.5,23.9,291.2,2.5,0.5,2.6,13.0,0.1,0.2,22.7
5,Justin HerbertLAC,40.0,26.1,296.5,2.2,0.7,3.6,15.8,0.2,0.2,22.2
6,Dak PrescottDAL,40.0,26.4,299.0,2.1,0.8,3.8,17.9,0.2,0.1,21.9
7,Ryan TannehillTEN,33.5,21.5,260.3,1.8,0.6,3.2,15.3,0.1,0.2,18.8
8,Matthew StaffordLAR,36.7,24.2,282.3,1.8,0.8,2.2,7.4,0.1,0.2,18.6
9,Kirk CousinsMIN,33.9,23.1,269.8,1.8,0.8,1.4,5.3,0.0,0.2,17.4
10,Derek CarrLV,35.9,23.1,271.2,1.7,0.8,2.2,7.7,0.1,0.2,17.4
11,Trevor LawrenceJAC,37.4,23.6,254.7,1.6,1.1,2.9,14.2,0.1,0.1,17.0
12,Matt RyanATL,39.7,25.9,280.2,1.6,1.0,1.8,5.2,0.0,0.2,17.0
13,Mac JonesNE,34.2,22.9,252.8,1.7,0.7,1.5,6.6,0.0,0.1,16.9
14,Taylor HeinickeWAS,34.8,22.6,241.9,1.5,1.1,3.4,17.9,0.1,0.1,16.7
15,Tua TagovailoaMIA,34.8,22.1,241.5,1.4,0.9,3.2,13.9,0.2,0.1,16.5
16,Jimmy GaroppoloSF,30.5,20.8,248.7,1.7,0.8,1.7,4.9,0.0,0.2,16.1
