,Player,ATT,CMP,YDS,TDS,INTS,ATT,YDS,TDS,FL,FPTS
0,Josh AllenBUF,37.6,24.3,284.5,1.9,0.9,6.7,30.9,0.3,0.2,22.4
1,Justin HerbertLAC,38.3,24.6,286.5,1.9,0.9,4.4,22.9,0.2,0.1,21.1
2,Dak PrescottDAL,36.2,24.1,269.3,2.0,0.6,3.4,14.4,0.2,0.2,20.2
3,Aaron RodgersGB,34.5,22.6,263.7,1.9,0.4,2.3,10.0,0.1,0.1,18.9
4,Russell WilsonSEA,32.5,21.5,248.5,1.8,0.6,4.2,22.7,0.1,0.2,18.8
5,Matthew StaffordLAR,36.3,24.1,287.6,1.9,0.7,1.7,5.9,0.0,0.1,18.8
6,Derek CarrLV,37.1,24.8,293.5,1.7,0.7,1.8,6.3,0.1,0.2,18.2
7,Kirk CousinsMIN,35.8,24.3,273.4,1.8,0.7,1.5,6.2,0.1,0.2,18.0
8,Tyrod TaylorHOU,33.6,21.5,235.3,1.6,0.7,4.1,20.6,0.2,0.1,17.9
9,Cam NewtonCAR,32.1,20.7,227.2,1.1,0.9,7.5,35.8,0.3,0.2,17.8
10,Jimmy GaroppoloSF,31.5,20.6,248.2,1.7,0.7,2.0,7.2,0.1,0.2,17.2
11,Taylor HeinickeWAS,34.2,22.5,241.0,1.4,0.9,4.8,24.7,0.1,0.2,17.1
12,Carson WentzIND,34.9,22.3,236.0,1.7,0.8,3.2,13.0,0.1,0.2,17.1
13,Matt RyanATL,36.8,25.1,273.2,1.5,0.8,1.4,5.0,0.1,0.2,16.7
14,Mac JonesNE,32.7,22.7,245.7,1.5,0.7,2.5,10.1,0.1,0.1,16.4
15,Tua TagovailoaMIA,35.8,23.6,239.2,1.4,0.9,3.2,13.7,0.2,0.1,16.3
16,Andy DaltonCHI,31.6,19.9,236.5,1.4,0.6,2.6,12.3,0.1,0.2,16.1
17,Trevor LawrenceJAC,34.4,21.9,229.3,1.2,0.9,4.1,20.3,0.2,0.1,15.9
18,Ryan TannehillTEN,33.0,21.6,242.0,1.2,0.9,3.1,15.1,0.1,0.2,15.4
19,Zach WilsonNYJ,33.7,20.9,238.0,1.3,1.3,1.9,8.6,0.1,0.1,14.4
20,Jared GoffDET,33.4,21.3,229.4,1.2,0.8,1.3,5.0,0.1,0.2,13.4
21,Trevor SiemianNO,31.6,18.5,198.5,1.4,0.8,1.2,5.6,0.0,0.2,13.0
22,Taysom HillNO,2.5,1.6,28.6,0.1,0.2,2.5,10.4,0.1,0.0,2.8
23,Trey LanceSF,1.6,0.9,13.4,0.1,0.1,1.6,5.2,0.1,0.0,1.6
24,Josh JohnsonBAL,3.6,2.3,22.3,0.1,0.1,0.2,0.7,0.0,0.0,1.2
25,Gardner Minshew IIPHI,1.2,0.8,15.2,0.1,0.0,0.3,0.8,0.0,0.0,1.1
26,Nick FolesCHI,1.3,0.8,18.6,0.1,0.1,0.3,0.6,0.0,0.0,1.1
27,Jacoby BrissettMIA,1.5,0.9,13.9,0.1,0.0,0.2,0.6,0.0,0.0,1.0
28,Mitchell TrubiskyBUF,1.6,1.0,11.7,0.1,0.0,0.3,1.0,0.0,0.0,1.0
29,Chase DanielLAC,1.6,1.0,11.3,0.1,0.0,0.2,1.1,0.0,0.0,1.0
30,P.J. WalkerCAR,1.4,0.9,9.9,0.1,0.0,0.3,1.2,0.0,0.0,0.9
31,Blaine GabbertTB,1.7,1.0,14.6,0.1,0.0,0.2,0.2,0.0,0.0,0.9
32,Drew LockDEN,1.3,0.9,11.5,0.1,0.0,0.2,0.8,0.0,0.0,0.9
33,Davis MillsHOU,1.3,0.9,13.0,0.1,0.0,0.2,0.4,0.0,0.0,0.9
34,Mason RudolphPIT,1.5,0.9,9.6,0.1,0.0,0.3,0.9,0.0,0.0,0.9
35,Geno SmithSEA,1.2,0.8,9.1,0.1,0.0,0.2,1.1,0.0,0.0,0.9
36,Cooper RushDAL,1.5,0.8,12.6,0.1,0.0,0.3,0.2,0.0,0.0,0.9
37,Tim BoyleDET,1.5,0.9,12.3,0.1,0.0,0.1,0.3,0.0,0.0,0.9
38,Case KeenumCLE,1.2,0.8,9.8,0.1,0.0,0.1,0.7,0.0,0.0,0.9
39,Josh RosenATL,1.5,1.0,10.9,0.1,0.1,0.2,0.7,0.0,0.0,0.8
40,Brandon AllenCIN,1.3,0.8,9.9,0.1,0.1,0.3,1.1,0.0,0.0,0.8
41,Sam EhlingerIND,0.8,0.5,12.8,0.0,0.1,0.2,0.7,0.0,0.0,0.8
42,C.J. BeathardJAC,1.5,0.9,12.6,0.1,0.0,0.2,0.5,0.0,0.1,0.7
43,Jordan LoveGB,1.3,0.8,9.8,0.1,0.0,0.3,0.5,0.0,0.0,0.7
44,Brian HoyerNE,1.3,0.9,10.5,0.1,0.1,0.3,0.3,0.0,0.0,0.7
45,Kyle AllenWAS,1.4,0.9,9.9,0.1,0.0,0.1,0.3,0.0,0.0,0.7
46,Marcus MariotaLV,0.7,0.5,9.1,0.0,0.0,0.3,1.1,0.0,0.0,0.7
47,Tyler HuntleyBAL,1.3,0.8,10.9,0.0,0.1,0.3,0.8,0.0,0.0,0.6
48,Feleipe FranksATL,1.0,0.6,8.7,0.0,0.1,0.2,0.9,0.0,0.0,0.5
49,John WolfordLAR,1.5,0.8,9.9,0.0,0.1,0.3,1.2,0.0,0.0,0.4
50,Sean MannionMIN,0.6,0.3,3.6,0.0,0.0,0.1,0.1,0.0,0.0,0.2
