,Player,ATT,CMP,YDS,TDS,INTS,ATT,YDS,TDS,FL,FPTS
0,Josh AllenBUF,36.6,24.3,286.0,2.2,0.6,7.9,40.0,0.6,0.2,26.5
1,Dak PrescottDAL,36.8,25.2,297.9,2.3,0.6,3.7,16.3,0.1,0.2,22.4
2,Patrick Mahomes IIKC,38.4,25.4,289.0,2.0,0.8,4.5,26.0,0.2,0.2,22.1
3,Justin HerbertLAC,38.7,25.0,290.5,2.0,0.8,3.5,17.4,0.2,0.1,21.5
4,Matthew StaffordLAR,35.6,24.1,292.0,2.1,0.7,1.8,6.9,0.1,0.2,20.0
5,Aaron RodgersGB,34.4,22.8,267.8,2.0,0.4,2.3,10.7,0.1,0.1,20.0
6,Derek CarrLV,36.3,24.3,287.9,1.9,0.6,2.0,7.2,0.1,0.2,19.3
7,Russell WilsonSEA,32.3,21.9,256.0,1.8,0.6,3.9,21.3,0.1,0.2,19.0
8,Carson WentzIND,33.0,21.4,248.0,1.9,0.5,3.5,15.2,0.1,0.2,18.8
9,Matt RyanATL,39.7,26.7,292.1,1.8,0.9,1.7,5.8,0.1,0.2,18.7
10,Kirk CousinsMIN,35.9,24.3,273.0,1.9,0.7,2.6,8.1,0.1,0.2,18.6
11,Ryan TannehillTEN,33.3,21.4,251.4,1.6,0.9,3.5,16.5,0.2,0.2,17.9
12,Taylor HeinickeWAS,37.2,24.0,244.6,1.3,1.2,4.5,22.7,0.1,0.2,16.6
13,Trevor LawrenceJAC,36.2,23.1,248.9,1.2,1.0,3.7,16.7,0.1,0.1,16.0
14,Jimmy GaroppoloSF,33.5,21.8,247.0,1.5,0.9,2.3,7.4,0.1,0.3,15.9
15,Colt McCoyARI,31.3,20.7,214.9,1.5,0.9,3.4,15.7,0.1,0.1,15.6
16,Mac JonesNE,34.0,22.7,245.8,1.4,0.9,2.1,8.7,0.1,0.2,15.6
17,Jacoby BrissettMIA,37.1,23.1,243.3,1.3,0.8,3.1,12.3,0.1,0.3,15.4
18,Mason RudolphPIT,32.0,20.2,229.7,1.6,0.8,1.5,6.0,0.0,0.1,15.2
19,Jared GoffDET,34.8,22.4,248.5,1.2,0.9,1.7,6.5,0.1,0.2,14.5
20,Mike WhiteNYJ,37.5,24.1,247.1,1.2,1.3,1.4,5.6,0.0,0.2,13.8
21,Trevor SiemianNO,30.0,18.5,207.5,1.2,0.8,1.2,5.4,0.0,0.2,12.7
22,P.J. WalkerCAR,31.5,19.7,210.8,0.9,0.9,3.0,13.3,0.1,0.1,12.6
23,Taysom HillNO,3.7,2.4,36.4,0.2,0.2,2.8,11.9,0.1,0.0,3.7
24,Cam NewtonCAR,10.3,6.4,39.9,0.2,0.2,2.0,5.0,0.1,0.0,3.0
25,Trey LanceSF,2.5,1.5,18.2,0.1,0.1,2.1,9.2,0.1,0.0,2.4
26,Sam EhlingerIND,0.0,0.0,25.1,0.1,0.1,0.0,1.5,0.0,0.0,1.8
27,Dwayne HaskinsPIT,3.5,2.2,32.5,0.1,0.1,0.2,0.3,0.0,0.0,1.7
28,Brett RypienDEN,0.0,0.0,19.5,0.1,0.1,0.0,0.0,0.0,0.0,1.2
29,Gardner Minshew IIPHI,1.3,0.8,15.3,0.1,0.0,0.3,0.7,0.0,0.0,1.1
30,Mitchell TrubiskyBUF,1.6,1.1,11.9,0.1,0.0,0.3,1.1,0.0,0.0,1.0
31,Joe FlaccoNYJ,0.0,0.0,18.0,0.1,0.2,0.0,0.0,0.0,0.0,1.0
32,Chase DanielLAC,1.6,1.0,11.5,0.1,0.0,0.2,1.1,0.0,0.0,1.0
33,Blaine GabbertTB,1.6,1.0,14.9,0.1,0.0,0.2,0.3,0.0,0.0,1.0
