,Player,ATT,CMP,YDS,TDS,INTS,ATT,YDS,TDS,FL,FPTS
0,Josh AllenBUF,37.0,25.3,304.2,2.5,0.6,8.0,38.1,0.4,0.2,27.4
1,Aaron RodgersGB,32.0,22.0,271.0,3.0,1.0,3.0,15.0,0.0,0.0,23.3
2,Patrick Mahomes IIKC,38.8,25.7,294.3,2.2,0.9,4.6,26.9,0.2,0.2,23.1
3,Matthew StaffordLAR,35.2,23.7,301.4,2.5,0.8,1.8,6.8,0.1,0.1,22.2
4,Dak PrescottDAL,35.7,23.8,287.7,2.2,0.7,4.0,17.3,0.1,0.2,22.0
5,Kyler MurrayARI,31.0,22.0,258.5,2.0,0.5,5.0,29.5,0.2,0.0,21.7
6,Justin HerbertLAC,39.2,26.1,285.4,1.9,0.8,3.6,15.3,0.1,0.1,20.4
7,Kirk CousinsMIN,38.3,26.0,303.1,1.8,0.6,2.2,6.6,0.0,0.2,19.2
8,Derek CarrLV,35.5,24.3,288.1,1.8,0.6,2.2,6.9,0.1,0.2,19.0
9,Carson WentzIND,33.0,21.1,238.6,1.9,0.6,3.3,13.1,0.1,0.2,17.9
10,Ryan TannehillTEN,35.8,23.5,266.4,1.5,1.1,3.3,16.6,0.1,0.2,17.8
11,Jacoby BrissettMIA,36.3,22.8,248.4,1.6,0.7,3.3,14.0,0.2,0.3,17.6
12,Tyrod TaylorHOU,33.6,21.5,243.0,1.3,0.8,3.5,17.3,0.1,0.1,16.4
13,Jordan LoveGB,32.3,20.6,243.9,1.5,0.9,2.8,13.7,0.1,0.2,16.1
14,Sam DarnoldCAR,34.5,20.6,231.2,1.2,1.2,4.1,19.3,0.2,0.2,15.6
15,Matt RyanATL,39.0,25.5,263.9,1.4,1.1,1.8,5.8,0.0,0.2,15.5
16,Mac JonesNE,33.6,22.6,237.5,1.4,0.9,2.2,9.2,0.1,0.1,15.4
17,Mike WhiteNYJ,34.1,22.6,255.0,1.3,1.3,2.1,7.3,0.0,0.1,15.0
18,Jimmy GaroppoloSF,29.9,19.4,226.0,1.4,0.8,2.3,7.6,0.1,0.2,14.7
19,Trevor LawrenceJAC,37.4,22.4,220.5,1.0,1.3,3.7,17.6,0.2,0.2,14.1
20,Colt McCoyARI,33.6,21.6,212.5,1.2,0.9,3.0,13.5,0.1,0.2,14.1
21,Justin FieldsCHI,29.2,18.3,190.8,0.9,1.2,7.2,34.7,0.2,0.3,14.0
22,Trevor SiemianNO,26.8,16.8,191.8,1.3,0.8,2.1,9.8,0.1,0.1,13.5
23,Tua TagovailoaMIA,33.0,22.0,129.0,1.0,0.5,4.0,7.5,0.0,0.0,9.6
24,Taysom HillNO,8.7,5.5,68.3,0.5,0.3,3.9,17.0,0.2,0.0,7.2
25,Davis MillsHOU,18.3,12.6,98.7,0.4,0.8,1.6,1.4,0.0,0.0,5.1
26,Trey LanceSF,2.8,1.7,19.6,0.1,0.1,1.6,10.0,0.1,0.0,2.6
27,Mitchell TrubiskyBUF,3.0,2.0,25.0,0.2,0.1,0.2,1.0,0.0,0.0,1.8
28,Sam EhlingerIND,0.0,0.0,26.2,0.1,0.1,0.0,1.4,0.0,0.0,1.8
29,Davis WebbNYG,0.0,0.0,28.8,0.1,0.1,0.0,0.0,0.0,0.0,1.5
30,Gardner Minshew IIPHI,1.4,0.9,14.8,0.1,0.0,0.3,0.8,0.0,0.0,1.2
31,Chad HenneKC,1.6,1.0,11.0,0.1,0.0,0.2,1.2,0.0,0.0,1.0
32,Tyler HuntleyBAL,1.3,0.8,14.7,0.0,0.1,0.3,1.7,0.0,0.0,0.9
33,Mason RudolphPIT,1.5,0.9,9.8,0.1,0.0,0.3,0.9,0.0,0.0,0.9
34,Case KeenumCLE,1.2,0.8,9.7,0.1,0.0,0.1,0.7,0.0,0.0,0.9
35,Chase DanielLAC,1.5,1.0,13.1,0.1,0.0,0.2,0.5,0.0,0.0,0.8
36,Dwayne HaskinsPIT,1.5,0.9,9.6,0.1,0.0,0.2,0.6,0.0,0.0,0.8
37,Brandon AllenCIN,1.3,0.9,12.8,0.1,0.0,0.3,0.5,0.0,0.0,0.8
38,Cooper RushDAL,1.4,0.8,12.4,0.1,0.0,0.2,0.3,0.0,0.0,0.8
39,Josh RosenATL,1.6,0.9,10.1,0.1,0.1,0.2,0.7,0.0,0.0,0.8
40,P.J. WalkerCAR,1.7,1.0,14.5,0.1,0.1,0.1,0.2,0.0,0.0,0.8
41,Josh JohnsonBAL,0.0,0.0,12.0,0.1,0.1,0.0,0.4,0.0,0.0,0.7
42,Marcus MariotaLV,0.7,0.5,9.3,0.0,0.0,0.4,1.4,0.0,0.0,0.7
43,Brian HoyerNE,1.4,0.9,11.2,0.1,0.0,0.3,0.1,0.0,0.0,0.7
44,Feleipe FranksATL,1.1,0.7,12.1,0.0,0.0,0.1,0.8,0.0,0.0,0.6
45,Andy DaltonCHI,1.5,0.9,10.7,0.1,0.1,0.1,0.3,0.0,0.0,0.6
46,Blake BortlesNO,0.9,0.6,11.7,0.0,0.0,0.2,0.2,0.0,0.0,0.6
47,John WolfordLAR,1.4,0.9,11.0,0.0,0.0,0.3,0.6,0.0,0.0,0.6
48,C.J. BeathardJAC,1.5,0.8,7.9,0.0,0.0,0.2,0.9,0.0,0.0,0.4
49,Logan WoodsideTEN,0.7,0.4,6.9,0.0,0.0,0.3,0.2,0.0,0.0,0.4
50,Sean MannionMIN,0.6,0.3,4.0,0.0,0.0,0.1,0.1,0.0,0.0,0.2
