rank,player,passing_cmp,passing_att,passing_cmppct,passing_yds,passing_avg,passing_td,passing_int,sacked,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,fantasy_points_per_game,rost,team,position,year
1,Josh Allen,409,646,63.3,4407,6.8,36,15,26,122,763,6,3,17,417.7,24.6,100.0,BUF,QB,2021
2,Justin Herbert,443,672,65.9,5014,7.5,38,15,31,63,302,3,1,17,395.6,23.3,98.8,LAC,QB,2021
3,Tom Brady,485,719,67.5,5316,7.4,43,12,22,28,81,2,3,17,386.7,22.7,99.1,TB,QB,2021
4,Patrick Mahomes II,436,658,66.3,4828,7.3,37,13,28,66,381,2,4,17,374.2,22.0,100.0,KC,QB,2021
5,Matthew Stafford,404,601,67.2,4886,8.1,41,17,30,32,43,0,2,17,346.8,20.4,97.2,LAR,QB,2021
6,Aaron Rodgers,366,531,68.9,4115,7.7,37,4,30,33,101,3,0,16,336.3,21.0,97.4,GB,QB,2021
7,Dak Prescott,410,596,68.8,4449,7.5,37,10,30,48,146,1,6,16,330.4,20.7,98.2,DAL,QB,2021
8,Joe Burrow,366,520,70.4,4611,8.9,34,14,51,40,118,2,2,16,328.1,20.5,88.3,CIN,QB,2021
9,Jalen Hurts,265,432,61.3,3144,7.3,16,9,26,139,784,10,2,15,321.2,21.4,94.4,PHI,QB,2021
10,Kyler Murray,333,481,69.2,3787,7.9,24,10,31,88,423,5,0,14,310.5,22.2,99.3,ARI,QB,2021
11,Kirk Cousins,372,561,66.3,4221,7.5,33,7,28,29,115,1,2,16,307.3,19.2,70.7,MIN,QB,2021
12,Ryan Tannehill,357,531,67.2,3734,7.0,21,14,47,55,270,7,4,17,282.3,16.6,62.7,TEN,QB,2021
13,Derek Carr,428,626,68.4,4804,7.7,23,14,40,40,108,0,5,17,270.6,15.9,58.1,LV,QB,2021
14,Carson Wentz,322,516,62.4,3563,6.9,27,7,32,57,215,1,5,17,264.9,15.6,44.0,IND,QB,2021
15,Lamar Jackson,246,382,64.4,2882,7.5,16,13,38,134,767,2,3,12,253.0,21.1,94.0,BAL,QB,2021
16,Russell Wilson,259,400,64.8,3113,7.8,25,6,33,43,183,2,1,14,248.7,17.8,90.4,SEA,QB,2021
17,Jimmy Garoppolo,301,441,68.3,3810,8.6,20,12,29,38,51,3,3,15,239.5,16.0,23.3,SF,QB,2021
18,Mac Jones,352,521,67.6,3801,7.3,22,13,28,44,129,0,3,17,238.0,14.0,28.5,NE,QB,2021
19,Taylor Heinicke,321,494,65.0,3419,6.9,20,15,38,60,313,1,2,16,236.7,14.8,21.2,WAS,QB,2021
20,Matt Ryan,375,560,67.0,3968,7.1,20,12,40,40,82,1,4,17,234.8,13.8,36.3,ATL,QB,2021
21,Ben Roethlisberger,390,605,64.5,3740,6.2,22,10,38,20,5,1,5,16,228.0,14.3,23.8,PIT,QB,2021
22,Trevor Lawrence,359,602,59.6,3641,6.0,12,17,32,73,334,2,5,17,216.0,12.7,23.9,JAC,QB,2021
23,Teddy Bridgewater,285,426,66.9,3052,7.2,18,7,31,30,106,2,1,14,209.8,15.0,15.6,DEN,QB,2021
24,Jared Goff,332,494,67.2,3245,6.6,19,8,35,17,87,0,6,14,202.4,14.5,5.3,DET,QB,2021
25,Baker Mayfield,253,418,60.5,3010,7.2,17,13,43,37,134,1,3,14,193.8,13.8,26.4,CLE,QB,2021
26,Tua Tagovailoa,263,388,67.8,2653,6.8,16,10,20,42,128,3,1,13,190.9,14.7,44.2,MIA,QB,2021
27,Daniel Jones,232,361,64.3,2428,6.7,10,7,22,62,298,2,3,11,173.6,15.8,13.6,NYG,QB,2021
28,Sam Darnold,243,406,59.9,2527,6.2,9,13,35,48,222,5,4,12,170.5,14.2,5.5,CAR,QB,2021
29,Davis Mills,263,394,66.8,2664,6.8,16,10,31,18,44,0,1,13,167.0,12.8,3.7,HOU,QB,2021
30,Zach Wilson,213,383,55.6,2334,6.1,9,11,44,29,185,4,1,13,162.9,12.5,6.6,NYJ,QB,2021
31,Justin Fields,159,270,58.9,1870,6.9,7,10,36,72,420,2,5,12,136.9,11.4,21.0,CHI,QB,2021
32,Taysom Hill,78,134,58.2,978,7.3,4,5,9,70,374,5,0,12,122.8,10.2,53.2,NO,QB,2021
33,Jameis Winston,95,161,59.0,1170,7.3,14,3,11,32,166,1,1,7,120.3,17.2,5.2,NO,QB,2021
34,Trevor Siemian,108,188,57.4,1154,6.1,11,3,9,9,20,1,1,6,93.2,15.5,1.1,NO,QB,2021
35,Andy Dalton,149,236,63.1,1515,6.4,8,9,18,16,76,0,1,8,93.1,11.6,1.6,CHI,QB,2021
36,Cam Newton,69,126,54.8,684,5.4,4,5,10,47,230,5,1,8,91.3,11.4,20.3,CAR,QB,2021
37,Tyler Huntley,122,188,64.9,1081,5.8,3,4,18,47,294,2,3,7,86.7,12.4,28.7,BAL,QB,2021
38,Tyrod Taylor,91,150,60.7,966,6.4,5,5,13,19,151,3,0,6,86.7,14.5,4.9,HOU,QB,2021
39,Jacoby Brissett,141,225,62.7,1283,5.7,5,4,19,19,70,1,3,11,76.4,6.9,0.6,MIA,QB,2021
40,Trey Lance,41,71,57.7,603,8.5,5,2,4,38,168,1,0,6,67.0,11.2,26.3,SF,QB,2021
41,Geno Smith,65,95,68.4,702,7.4,5,1,13,9,42,1,1,4,55.3,13.8,0.6,SEA,QB,2021
42,Drew Lock,67,111,60.4,787,7.1,2,2,9,10,53,2,1,6,52.8,8.8,1.5,DEN,QB,2021
43,Mike White,88,132,66.7,953,7.2,5,8,4,5,-1,0,0,4,52.0,13.0,0.8,NYJ,QB,2021
44,Josh Johnson,57,85,67.1,638,7.5,5,2,3,9,28,0,0,4,48.4,12.1,1.1,BAL,QB,2021
45,Colt McCoy,74,99,74.7,740,7.5,3,1,6,22,37,0,1,8,42.3,5.3,0.4,ARI,QB,2021
46,Mike Glennon,90,167,53.9,790,4.7,4,10,9,7,33,1,3,6,40.9,6.8,0.8,NYG,QB,2021
47,Gardner Minshew II,41,60,68.3,439,7.3,4,1,5,9,21,0,0,3,34.6,11.5,2.2,PHI,QB,2021
48,Tim Boyle,61,94,64.9,526,5.6,3,6,0,2,13,0,0,4,30.4,7.6,0.2,DET,QB,2021
49,Case Keenum,47,72,65.3,462,6.4,3,1,5,12,22,0,1,5,29.6,5.9,0.9,CLE,QB,2021
50,Cooper Rush,30,47,63.8,422,9.0,3,1,3,9,-8,0,1,4,25.1,6.3,0.3,DAL,QB,2021
51,Jordan Love,36,62,58.1,411,6.6,2,3,3,12,27,0,1,6,24.2,4.0,1.3,GB,QB,2021
52,Joe Flacco,27,42,64.3,338,8.0,3,0,2,2,3,0,1,2,23.8,11.9,0.3,NYJ,QB,2021
53,Mason Rudolph,35,58,60.3,277,4.8,1,1,0,5,53,0,0,2,19.4,9.7,0.3,PIT,QB,2021
54,P.J. Walker,36,66,54.5,362,5.5,1,3,7,7,13,0,1,5,16.8,3.4,0.1,CAR,QB,2021
55,Nick Foles,24,35,68.6,250,7.1,1,0,4,4,8,0,0,1,16.8,16.8,0.7,CHI,QB,2021
56,Marcus Mariota,1,2,50.0,4,2.0,0,0,0,13,87,1,0,7,14.9,2.1,0.2,LV,QB,2021
57,Jake Fromm,27,60,45.0,210,3.5,1,3,6,8,65,0,1,3,13.9,4.6,0.8,NYG,QB,2021
58,Brandon Allen,17,34,50.0,149,4.4,2,0,4,7,-1,0,0,5,13.8,2.8,0.4,CIN,QB,2021
59,Sean Mannion,22,36,61.1,189,5.3,1,0,2,2,14,0,0,1,13.0,13.0,0.8,MIN,QB,2021
60,Brian Hoyer,9,11,81.8,227,20.6,1,0,0,11,-8,0,0,5,12.3,2.5,0.0,NE,QB,2021
61,Nick Mullens,20,30,66.7,147,4.9,1,0,0,0,0,0,0,1,9.9,9.9,0.3,CLE,QB,2021
62,Mitchell Trubisky,6,8,75.0,43,5.4,0,1,0,13,24,1,0,5,9.1,1.8,0.4,BUF,QB,2021
63,Kyle Allen,12,19,63.2,120,6.3,1,0,2,2,11,0,1,2,7.9,4.0,0.1,WAS,QB,2021
64,Garrett Gilbert,20,31,64.5,194,6.3,0,0,2,0,0,0,0,1,7.8,7.8,0.1,WAS,QB,2021
65,Ian Book,12,20,60.0,135,6.8,0,2,8,3,6,0,0,1,4.0,4.0,0.8,NO,QB,2021
66,Chad Henne,11,16,68.8,82,5.1,0,0,0,8,0,0,0,4,3.3,0.8,0.1,KC,QB,2021
67,Chris Streveler,6,9,66.7,36,4.0,0,0,2,3,6,0,0,2,2.0,1.0,0.0,MIA,QB,2021
68,Blaine Gabbert,7,11,63.6,67,6.1,0,0,1,9,-7,0,0,6,1.9,0.3,0.1,TB,QB,2021
69,C.J. Beathard,2,2,100.0,33,16.5,0,0,0,1,2,0,0,2,1.5,0.8,0.0,JAC,QB,2021
70,Sam Ehlinger,0,0,0.0,0,0.0,0,0,0,3,9,0,0,3,0.9,0.3,0.1,IND,QB,2021
71,Ryan Fitzpatrick,3,6,50.0,13,2.2,0,0,1,1,2,0,0,1,0.7,0.7,6.1,WAS,QB,2021
72,David Blough,0,0,0.0,0,0.0,0,0,1,1,6,0,0,1,0.6,0.6,0.0,DET,QB,2021
73,Nathan Peterman,0,0,0.0,0,0.0,0,0,0,2,2,0,0,1,0.2,0.2,0.1,LV,QB,2021
74,Kellen Mond,2,3,66.7,5,1.7,0,0,0,0,0,0,0,2,0.2,0.1,0.2,MIN,QB,2021
75,John Lovett,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,MIA,QB,2021
76,Jarrett Stidham,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,NE,QB,2021
77,Jake Browning,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,CIN,QB,2021
78,Eric Dungey,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,CIN,QB,2021
79,Trace McSorley,0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.3,ARI,QB,2021
80,Easton Stick,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,LAC,QB,2021
81,Brett Rypien,0,2,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,DEN,QB,2021
82,Will Grier,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,DAL,QB,2021
83,Dwayne Haskins,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,PIT,QB,2021
84,Reid Sinnett,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,PHI,QB,2021
85,Jalen Morton,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,IND,QB,2021
86,Ben DiNucci,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,DAL,QB,2021
87,Kyle Trask,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,TB,QB,2021
88,Brian Lewerke,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,NYG,QB,2021
89,James Morgan,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,IND,QB,2021
90,Jake Luton,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,JAC,QB,2021
91,Steven Montez,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,DET,QB,2021
92,Bryce Perkins,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,LAR,QB,2021
93,Shane Buechele,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,KC,QB,2021
94,Jacob Eason,2,5,40.0,25,5.0,0,1,0,0,0,0,0,1,0.0,0.0,0.1,SEA,QB,2021
95,Ryan Willis,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,CHI,QB,2021
96,Ben Chappell,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,WAS,QB,2021
97,Adam Froman,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,ATL,QB,2021
98,John David Booty,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,HOU,QB,2021
99,Erik Ainge,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,NYJ,QB,2021
100,Hunter Cantwell,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,BAL,QB,2021
101,Keith Null,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,CAR,QB,2021
102,Brian Brohm,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,BUF,QB,2021
103,Deshaun Watson,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,5.0,HOU,QB,2021
104,Jeff Driskel,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,HOU,QB,2021
105,Nate Sudfeld,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,SF,QB,2021
106,Kevin Hogan,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,TEN,QB,2021
107,Joshua Dobbs,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,PIT,QB,2021
108,Brett Ratliff,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,TEN,QB,2021
109,Alex McGough,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,SEA,QB,2021
110,Danny Etling,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,GB,QB,2021
111,David Fales,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,NYJ,QB,2021
112,Brett Smith,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,TB,QB,2021
113,Blake Bortles,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,NO,QB,2021
