rank,player,rushing_att,rushing_yds,rushing_avg,rushing_lng,rushing_20p,rushing_td,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_td,lst,games,fantasy_points,fantasy_points_per_game,rost,team,position,year
1,Jonathan Taylor,332,1811,5.5,83,0,18,40,51,360,9.0,2,2,17,333.1,19.6,100.0,IND,RB,2021
2,Austin Ekeler,206,911,4.4,28,0,12,70,94,647,9.2,8,3,16,273.8,17.1,99.9,LAC,RB,2021
3,Joe Mixon,292,1205,4.1,32,0,13,42,48,314,7.5,3,1,16,245.9,15.4,98.1,CIN,RB,2021
4,Najee Harris,307,1200,3.9,37,0,7,74,94,467,6.3,3,0,17,226.7,13.3,99.9,PIT,RB,2021
5,James Conner,202,752,3.7,35,0,15,37,39,375,10.1,3,0,15,220.7,14.7,94.6,ARI,RB,2021
6,Ezekiel Elliott,237,1002,4.2,47,0,10,47,65,287,6.1,2,1,17,205.1,12.1,99.7,DAL,RB,2021
7,Nick Chubb,228,1259,5.5,70,0,8,20,25,174,8.7,1,1,14,195.3,14.0,99.8,CLE,RB,2021
8,Damien Harris,202,929,4.6,64,0,15,18,20,132,7.3,0,2,15,192.1,12.8,89.8,NE,RB,2021
9,Alvin Kamara,240,898,3.7,30,0,4,47,67,439,9.3,5,0,13,187.7,14.4,100.0,NO,RB,2021
10,Antonio Gibson,258,1037,4.0,27,0,7,42,52,294,7.0,3,4,16,187.1,11.7,95.9,WAS,RB,2021
11,Leonard Fournette,180,812,4.5,47,0,8,69,84,454,6.6,2,0,14,186.6,13.3,74.8,TB,RB,2021
12,Cordarrelle Patterson,153,618,4.0,39,0,6,52,69,548,10.5,5,0,16,182.6,11.4,95.1,ATL,RB,2021
13,Aaron Jones,171,799,4.7,57,0,4,52,65,391,7.5,6,1,15,177.0,11.8,98.9,GB,RB,2021
14,Derrick Henry,219,937,4.3,76,0,10,18,20,154,8.6,0,0,8,175.3,21.9,78.0,TEN,RB,2021
15,Dalvin Cook,249,1159,4.7,66,0,6,34,49,224,6.6,0,2,13,172.3,13.3,100.0,MIN,RB,2021
16,Josh Jacobs,217,872,4.0,28,0,9,54,64,348,6.4,0,2,15,172.0,11.5,98.0,LV,RB,2021
17,Melvin Gordon III,203,918,4.5,70,0,8,28,38,213,7.6,2,3,16,167.2,10.5,87.8,DEN,RB,2021
18,Javonte Williams,203,903,4.4,49,0,4,43,53,316,7.3,3,1,17,161.9,9.5,92.7,DEN,RB,2021
