rank,player,fg,fg_att,fg_pct,long,1-19,20-29,30-39,40-49,50+,XPT,XPA,games,fantasy_points,fantasy_points_per_game,rost,team,position,year
1.0,Daniel Carlson,40.0,43.0,93.0,56.0,0.0,10.0,12.0,12.0,6.0,30.0,33.0,17.0,174.0,10.2,74.3,LV,K,2021
2.0,Nick Folk,36.0,39.0,92.3,53.0,0.0,9.0,11.0,11.0,5.0,42.0,47.0,17.0,171.0,10.1,81.8,NE,K,2021
3.0,Chris Boswell,36.0,40.0,90.0,56.0,0.0,9.0,8.0,11.0,8.0,27.0,29.0,17.0,162.0,9.5,51.0,PIT,K,2021
4.0,Justin Tucker,35.0,37.0,94.6,66.0,0.0,7.0,9.0,13.0,6.0,32.0,32.0,17.0,162.0,9.5,98.0,BAL,K,2021
5.0,Matt Gay,32.0,34.0,94.1,55.0,0.0,6.0,15.0,7.0,4.0,48.0,49.0,17.0,159.0,9.4,89.8,LAR,K,2021
6.0,Greg Joseph,33.0,38.0,86.8,55.0,0.0,8.0,11.0,7.0,7.0,36.0,40.0,17.0,156.0,9.2,69.1,MIN,K,2021
7.0,Evan McPherson,28.0,33.0,84.8,58.0,0.0,5.0,8.0,6.0,9.0,46.0,48.0,16.0,154.0,9.6,34.2,CIN,K,2021
8.0,Matt Prater,30.0,37.0,81.1,62.0,0.0,11.0,9.0,3.0,7.0,47.0,49.0,17.0,154.0,9.1,52.8,ARI,K,2021
9.0,Jake Elliott,30.0,33.0,90.9,58.0,0.0,7.0,10.0,10.0,3.0,44.0,44.0,17.0,150.0,8.8,22.5,PHI,K,2021
10.0,Dustin Hopkins,30.0,34.0,88.2,50.0,1.0,8.0,6.0,13.0,2.0,40.0,44.0,17.0,147.0,8.6,14.5,LAC,K,2021
11.0,Tyler Bass,28.0,32.0,87.5,57.0,0.0,15.0,7.0,4.0,2.0,51.0,51.0,17.0,143.0,8.4,84.8,BUF,K,2021
12.0,Greg Zuerlein,29.0,35.0,82.9,56.0,0.0,5.0,15.0,7.0,2.0,42.0,48.0,16.0,140.0,8.8,74.2,DAL,K,2021
13.0,Harrison Butker,25.0,28.0,89.3,56.0,0.0,3.0,11.0,4.0,7.0,47.0,49.0,16.0,140.0,8.8,76.6,KC,K,2021
14.0,Ryan Succop,25.0,30.0,83.3,48.0,0.0,11.0,7.0,7.0,0.0,56.0,59.0,17.0,138.0,8.1,57.4,TB,K,2021
15.0,Mason Crosby,25.0,34.0,73.5,54.0,0.0,9.0,9.0,4.0,3.0,49.0,51.0,17.0,134.0,7.9,40.7,GB,K,2021
16.0,Randy Bullock,26.0,31.0,83.9,51.0,0.0,5.0,12.0,8.0,1.0,42.0,45.0,16.0,130.0,8.1,10.8,TEN,K,2021
17.0,Brandon McManus,26.0,31.0,83.9,61.0,0.0,7.0,6.0,8.0,5.0,33.0,34.0,17.0,129.0,7.6,44.3,DEN,K,2021
18.0,Younghoe Koo,27.0,29.0,93.1,54.0,0.0,8.0,9.0,6.0,4.0,30.0,30.0,17.0,125.0,7.4,40.9,ATL,K,2021
19.0,Graham Gano,29.0,33.0,87.9,55.0,0.0,5.0,12.0,5.0,7.0,17.0,17.0,17.0,123.0,7.2,31.4,NYG,K,2021
20.0,Cairo Santos,26.0,30.0,86.7,47.0,0.0,10.0,5.0,11.0,0.0,27.0,28.0,17.0,116.0,6.8,2.1,CHI,K,2021
21.0,Jason Sanders,23.0,31.0,74.2,51.0,0.0,6.0,7.0,8.0,2.0,34.0,35.0,17.0,115.0,6.8,22.6,MIA,K,2021
22.0,Robbie Gould,20.0,23.0,87.0,52.0,0.0,6.0,4.0,7.0,3.0,39.0,40.0,13.0,112.0,8.6,22.5,SF,K,2021
23.0,Jason Myers,17.0,23.0,73.9,53.0,0.0,2.0,9.0,3.0,3.0,44.0,47.0,17.0,104.0,6.1,22.1,SEA,K,2021
24.0,Michael Badgley,18.0,22.0,81.8,46.0,0.0,4.0,6.0,8.0,0.0,40.0,41.0,13.0,102.0,7.8,19.9,IND,K,2021
25.0,Joey Slye,23.0,25.0,92.0,56.0,0.0,9.0,5.0,5.0,4.0,18.0,22.0,12.0,100.0,8.3,1.6,WAS,K,2021
26.0,Zane Gonzalez,20.0,22.0,90.9,57.0,0.0,6.0,1.0,10.0,3.0,22.0,23.0,12.0,98.0,8.2,2.6,CAR,K,2021
27.0,Chase McLaughlin,15.0,21.0,71.4,57.0,0.0,3.0,4.0,4.0,4.0,36.0,37.0,16.0,93.0,5.8,7.1,CLE,K,2021
28.0,Matthew Wright,21.0,24.0,87.5,56.0,0.0,7.0,7.0,3.0,4.0,13.0,15.0,14.0,87.0,6.2,0.2,JAC,K,2021
29.0,Ka'imi Fairbairn,15.0,19.0,78.9,61.0,0.0,4.0,5.0,2.0,4.0,13.0,16.0,13.0,68.0,5.2,0.8,HOU,K,2021
30.0,Brett Maher,16.0,18.0,88.9,42.0,0.0,4.0,8.0,4.0,0.0,10.0,12.0,8.0,62.0,7.8,1.9,FA,K,2021
31.0,Riley Patterson,13.0,14.0,92.9,49.0,0.0,3.0,6.0,4.0,0.0,16.0,16.0,7.0,59.0,8.4,0.2,DET,K,2021
32.0,Matt Ammendola,13.0,19.0,68.4,49.0,0.0,5.0,6.0,2.0,0.0,14.0,15.0,11.0,55.0,5.0,0.1,NYJ,K,2021
33.0,Rodrigo Blankenship,11.0,14.0,78.6,48.0,0.0,3.0,3.0,5.0,0.0,7.0,8.0,5.0,45.0,9.0,4.1,IND,K,2021
