rank,player,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_lg,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,fantasy_points_per_game,rost,position,year,team
1.0,Cooper Kupp,145.0,191.0,1947.0,13.4,59.0,0.0,16.0,4.0,18.0,0.0,0.0,17.0,294.5,17.3,100.0,WR,2021,team
2.0,Deebo Samuel,77.0,121.0,1405.0,18.2,83.0,0.0,6.0,59.0,365.0,8.0,2.0,16.0,262.0,16.4,98.8,WR,2021,team
3.0,Ja'Marr Chase,81.0,128.0,1455.0,18.0,82.0,0.0,13.0,7.0,21.0,0.0,1.0,17.0,223.6,13.2,98.5,WR,2021,team
4.0,Justin Jefferson,108.0,167.0,1616.0,15.0,56.0,0.0,10.0,6.0,14.0,0.0,1.0,17.0,222.4,13.1,99.9,WR,2021,team
5.0,Davante Adams,123.0,169.0,1553.0,12.6,59.0,0.0,11.0,0.0,0.0,0.0,0.0,16.0,221.3,13.8,100.0,WR,2021,team
6.0,Mike Evans,74.0,114.0,1035.0,14.0,46.0,0.0,14.0,1.0,10.0,0.0,0.0,16.0,188.5,11.8,97.8,WR,2021,team
7.0,Tyreek Hill,111.0,159.0,1239.0,11.2,75.0,0.0,9.0,9.0,96.0,0.0,1.0,17.0,185.5,10.9,100.0,WR,2021,team
8.0,Stefon Diggs,103.0,164.0,1225.0,11.9,61.0,0.0,10.0,0.0,0.0,0.0,0.0,17.0,182.5,10.7,100.0,WR,2021,team
9.0,Mike Williams,76.0,129.0,1146.0,15.1,72.0,0.0,9.0,0.0,0.0,0.0,0.0,16.0,170.6,10.7,91.9,WR,2021,team
10.0,D.K. Metcalf,75.0,129.0,967.0,12.9,84.0,0.0,12.0,1.0,6.0,0.0,0.0,17.0,169.3,10.0,98.9,WR,2021,team
11.0,Tyler Lockett,73.0,107.0,1175.0,16.1,69.0,0.0,8.0,2.0,9.0,0.0,0.0,16.0,168.4,10.5,97.5,WR,2021,team
12.0,Diontae Johnson,107.0,169.0,1161.0,10.9,50.0,0.0,8.0,5.0,53.0,0.0,2.0,16.0,167.4,10.5,98.1,WR,2021,team
13.0,Hunter Renfrow,103.0,128.0,1038.0,10.1,54.0,0.0,9.0,3.0,3.0,0.0,1.0,17.0,156.1,9.2,89.8,WR,2021,team
14.0,CeeDee Lamb,79.0,120.0,1102.0,13.9,49.0,0.0,6.0,9.0,76.0,0.0,0.0,16.0,153.8,9.6,99.7,WR,2021,team
15.0,Keenan Allen,106.0,157.0,1138.0,10.7,42.0,0.0,6.0,0.0,0.0,0.0,0.0,16.0,151.8,9.5,99.3,WR,2021,team
16.0,Michael Pittman Jr.,88.0,129.0,1082.0,12.3,57.0,0.0,6.0,5.0,44.0,0.0,0.0,17.0,150.6,8.9,92.6,WR,2021,team
17.0,Tee Higgins,74.0,110.0,1091.0,14.7,54.0,0.0,6.0,0.0,0.0,0.0,1.0,14.0,145.1,10.4,95.2,WR,2021,team
18.0,DJ Moore,93.0,163.0,1157.0,12.4,64.0,0.0,4.0,8.0,48.0,0.0,1.0,17.0,144.5,8.5,95.7,WR,2021,team
19.0,Chris Godwin,98.0,127.0,1103.0,11.3,44.0,0.0,5.0,4.0,21.0,1.0,2.0,14.0,144.4,10.3,67.1,WR,2021,team
20.0,Jaylen Waddle,104.0,140.0,1015.0,9.8,57.0,0.0,6.0,2.0,3.0,1.0,1.0,16.0,141.8,8.9,94.6,WR,2021,team
21.0,Brandin Cooks,90.0,134.0,1037.0,11.5,52.0,0.0,6.0,2.0,21.0,0.0,0.0,16.0,141.8,8.9,92.7,WR,2021,team
22.0,Darnell Mooney,81.0,140.0,1055.0,13.0,64.0,0.0,4.0,6.0,32.0,1.0,0.0,17.0,138.7,8.2,76.3,WR,2021,team
23.0,Amon-Ra St. Brown,90.0,119.0,912.0,10.1,37.0,0.0,5.0,7.0,61.0,1.0,0.0,16.0,137.3,8.6,82.8,WR,2021,team
24.0,Terry McLaurin,77.0,130.0,1053.0,13.7,46.0,0.0,5.0,1.0,12.0,0.0,0.0,17.0,136.5,8.0,97.0,WR,2021,team
25.0,Marquise Brown,91.0,146.0,1008.0,11.1,49.0,0.0,6.0,1.0,5.0,0.0,1.0,16.0,135.3,8.5,92.8,WR,2021,team
26.0,Amari Cooper,68.0,104.0,865.0,12.7,41.0,0.0,8.0,0.0,0.0,0.0,0.0,15.0,134.5,9.0,97.7,WR,2021,team
27.0,Adam Thielen,67.0,95.0,726.0,10.8,35.0,0.0,10.0,1.0,2.0,0.0,0.0,13.0,132.8,10.2,82.7,WR,2021,team
28.0,Christian Kirk,77.0,103.0,982.0,12.8,50.0,0.0,5.0,1.0,11.0,0.0,0.0,17.0,130.6,7.7,79.5,WR,2021,team
29.0,Kendrick Bourne,55.0,70.0,800.0,14.5,75.0,0.0,5.0,12.0,125.0,0.0,1.0,17.0,125.5,7.4,23.7,WR,2021,team
30.0,DeVonta Smith,64.0,104.0,916.0,14.3,46.0,0.0,5.0,0.0,0.0,0.0,1.0,17.0,121.6,7.2,86.6,WR,2021,team
31.0,Van Jefferson,50.0,89.0,802.0,16.0,79.0,0.0,6.0,2.0,20.0,0.0,0.0,17.0,118.2,7.0,68.1,WR,2021,team
32.0,A.J. Brown,63.0,105.0,869.0,13.8,57.0,0.0,5.0,2.0,10.0,0.0,0.0,13.0,117.9,9.1,97.8,WR,2021,team
33.0,Tyler Boyd,67.0,94.0,828.0,12.4,68.0,0.0,5.0,2.0,22.0,0.0,0.0,16.0,116.8,7.3,71.3,WR,2021,team
34.0,Brandon Aiyuk,56.0,84.0,826.0,14.8,43.0,0.0,5.0,5.0,17.0,0.0,1.0,17.0,114.3,6.7,88.8,WR,2021,team
35.0,K.J. Osborn,50.0,82.0,655.0,13.1,64.0,0.0,7.0,1.0,10.0,0.0,0.0,17.0,108.5,6.4,39.9,WR,2021,team
36.0,Chase Claypool,59.0,105.0,860.0,14.6,59.0,0.0,2.0,14.0,96.0,0.0,0.0,15.0,107.6,7.2,85.4,WR,2021,team
37.0,Marvin Jones Jr.,73.0,120.0,832.0,11.4,33.0,0.0,4.0,0.0,0.0,0.0,0.0,17.0,107.2,6.3,55.4,WR,2021,team
38.0,Marquez Callaway,46.0,84.0,698.0,15.2,58.0,0.0,6.0,0.0,0.0,0.0,0.0,17.0,105.8,6.2,28.6,WR,2021,team
39.0,DeAndre Hopkins,42.0,64.0,572.0,13.6,55.0,0.0,8.0,0.0,0.0,0.0,0.0,10.0,105.2,10.5,69.3,WR,2021,team
40.0,Tim Patrick,53.0,85.0,734.0,13.8,44.0,0.0,5.0,0.0,0.0,0.0,0.0,16.0,103.4,6.5,17.6,WR,2021,team
41.0,Jakobi Meyers,83.0,126.0,866.0,10.4,39.0,0.0,2.0,1.0,9.0,0.0,1.0,16.0,103.3,6.5,66.5,WR,2021,team
42.0,A.J. Green,54.0,92.0,848.0,15.7,42.0,0.0,3.0,0.0,0.0,0.0,0.0,16.0,102.8,6.4,51.8,WR,2021,team
43.0,Cedrick Wilson Jr.,45.0,61.0,602.0,13.4,73.0,0.0,6.0,2.0,11.0,0.0,0.0,14.0,102.8,7.3,4.0,WR,2021,team
44.0,Allen Lazard,40.0,60.0,513.0,12.8,42.0,0.0,8.0,3.0,32.0,0.0,0.0,14.0,102.5,7.3,23.4,WR,2021,team
45.0,Russell Gage,66.0,94.0,770.0,11.7,49.0,0.0,4.0,0.0,0.0,0.0,2.0,13.0,97.0,7.5,60.2,WR,2021,team
46.0,Elijah Moore,43.0,77.0,538.0,12.5,62.0,0.0,5.0,5.0,54.0,1.0,0.0,11.0,95.2,8.7,49.1,WR,2021,team
47.0,Robert Woods,45.0,69.0,556.0,12.4,28.0,0.0,4.0,8.0,46.0,1.0,0.0,9.0,92.2,10.2,29.9,WR,2021,team
