,Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
56,57,Anthony Miller(PIT),2,7,35,17.5,21,1,0,0,0,0,0,1,3.5,3.5,0.3%
57,58,Chad Williams(FA),4,8,34,8.5,16,0,0,0,0,0,0,1,3.4,3.4,0.0%
58,59,Jakeem Grant Sr.(CHI),2,2,32,16.0,19,0,0,0,0,0,0,1,3.2,3.2,1.2%
59,60,D.J. Chark Jr.(JAC),4,7,31,7.8,15,0,0,0,0,0,0,1,3.1,3.1,17.9%
60,61,Cody Core(MIA),3,3,30,10.0,18,0,0,0,0,0,0,1,3.0,3.0,0.0%
61,62,Marvin Jones Jr.(JAC),3,4,29,9.7,16,0,0,0,0,0,0,1,2.9,2.9,55.4%
62,63,DJ Moore(CAR),3,5,29,9.7,16,0,0,0,0,0,0,1,2.9,2.9,95.7%
63,64,Tyler Boyd(CIN),3,4,27,9.0,13,0,0,0,0,0,0,1,2.7,2.7,71.3%
64,65,Zay Jones(LV),3,5,27,9.0,15,0,0,0,0,0,0,1,2.7,2.7,6.0%
65,66,Stefon Diggs(BUF),8,15,33,4.1,10,0,0,2,-7,0,0,1,2.6,2.6,100.0%
66,67,Taylor Gabriel(FA),3,4,26,8.7,11,0,0,1,0,0,0,1,2.6,2.6,0.1%
67,68,TJ Jones(FA),1,1,26,26.0,26,1,0,0,0,0,0,1,2.6,2.6,0.0%
68,69,Justin Hardy(FA),2,2,24,12.0,15,0,0,0,0,0,0,1,2.4,2.4,0.0%
69,70,Marquise Goodwin(CHI),2,5,24,12.0,17,0,0,0,0,0,0,1,2.4,2.4,0.3%
70,71,Brandon Zylstra(CAR),1,1,23,23.0,23,1,0,0,0,0,0,1,2.3,2.3,0.1%
71,72,Chris Moore(HOU),1,2,14,14.0,14,0,0,1,9,0,0,1,2.3,2.3,0.1%
72,73,Damion Ratley(FA),3,3,23,7.7,9,0,0,0,0,0,0,1,2.3,2.3,0.0%
73,74,Maurice Harris(FA),3,3,22,7.3,10,0,0,0,0,0,0,1,2.2,2.2,0.0%
74,75,Mohamed Sanu Sr.(SF),2,2,21,10.5,16,0,0,0,0,0,0,1,2.1,2.1,0.1%
75,76,Andre Roberts(LAC),2,6,21,10.5,20,1,0,0,0,0,0,1,2.1,2.1,0.1%
76,77,Keelan Cole Sr.(NYJ),2,7,21,10.5,13,0,0,0,0,0,0,1,2.1,2.1,1.0%
77,78,Michael Floyd(FA),1,3,20,20.0,20,1,0,0,0,0,0,1,2.0,2.0,0.0%
78,79,Nelson Agholor(NE),6,7,20,3.3,13,0,0,0,0,0,0,1,2.0,2.0,13.6%
79,80,Josh Reynolds(DET),1,1,19,19.0,19,0,0,0,0,0,0,1,1.9,1.9,6.9%
80,81,Nick Williams(FA),2,2,17,8.5,11,0,0,0,0,0,0,1,1.7,1.7,0.0%
81,82,Dede Westbrook(MIN),4,4,17,4.3,6,0,0,0,0,0,0,1,1.7,1.7,0.1%
82,83,J.J. Nelson(IND),2,4,8,4.0,5,0,0,1,7,0,0,1,1.5,1.5,0.0%
83,84,Antonio Callaway(FA),1,2,14,14.0,14,0,0,0,0,0,0,1,1.4,1.4,0.0%
84,85,Andre Holmes(FA),1,2,13,13.0,13,0,0,0,0,0,0,1,1.3,1.3,0.0%
85,86,Travis Benjamin(SF),1,1,13,13.0,13,0,0,0,0,0,0,1,1.3,1.3,0.0%
86,87,Demarcus Robinson(KC),2,2,13,6.5,9,0,0,0,0,0,0,1,1.3,1.3,0.8%
87,88,Laquon Treadwell(JAC),3,3,11,3.7,5,0,0,0,0,0,0,1,1.1,1.1,2.5%
88,89,Bennie Fowler III(SF),1,1,11,11.0,11,0,0,0,0,0,0,1,1.1,1.1,0.0%
89,90,Corey Davis(NYJ),3,7,10,3.3,5,0,0,0,0,0,0,1,1.0,1.0,29.9%
90,91,Deontay Burnett(FA),1,2,9,9.0,9,0,0,0,0,0,0,1,0.9,0.9,0.0%
91,92,Taywan Taylor(FA),1,2,8,8.0,8,0,0,0,0,0,0,1,0.8,0.8,0.0%
92,93,Damiere Byrd(CHI),1,1,8,8.0,8,0,0,0,0,0,0,1,0.8,0.8,0.1%
93,94,Phillip Dorsett II(HOU),1,1,8,8.0,8,0,0,0,0,0,0,1,0.8,0.8,0.0%
94,95,Rashad Greene(FA),1,1,8,8.0,8,0,0,0,0,0,0,1,0.8,0.8,0.0%
95,96,Chris Conley(HOU),1,1,6,6.0,6,0,0,0,0,0,0,1,0.6,0.6,0.4%
96,97,Trent Taylor(CIN),1,3,6,6.0,6,0,0,0,0,0,0,1,0.6,0.6,0.0%
97,98,Breshad Perriman(TB),1,1,6,6.0,6,0,0,0,0,0,0,1,0.6,0.6,2.5%
98,99,Pierre Garcon(FA),1,1,5,5.0,5,0,0,0,0,0,0,1,0.5,0.5,0.0%
99,100,Allen Robinson II(CHI),1,5,4,4.0,4,0,0,0,0,0,0,1,0.4,0.4,53.7%
100,101,Keke Coutee(IND),1,3,3,3.0,3,0,0,0,0,0,0,1,0.3,0.3,0.0%
101,102,Gabriel Davis(BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.3%
102,103,Kalija Lipscomb(TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
103,104,Jason Moore Jr.(LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
104,105,Jalen Guyton(LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1%
105,106,Gunner Olszewski(NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
106,107,Joe Reed(LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
107,108,Quintez Cephus(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8%
108,109,Isaiah Hodgins(BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
109,110,James Proche II(BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
110,111,Denzel Mims(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7%
111,112,Antonio Gandy-Golden(WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
112,113,Aaron Fuller(SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
113,114,Deonte Harty(NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7%
114,115,Tyler Vaughns(PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
115,116,Malik Taylor(GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
116,117,Olamide Zaccheaus(ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8%
117,118,Marquez Callaway(NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.6%
118,119,Malik Henry(NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
119,120,Easop Winston Jr.(NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
120,121,Van Jefferson(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.1%
121,122,Alex Bachman(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
122,123,Nsimba Webster(CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
123,124,John Hightower(PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
124,125,Donovan Peoples-Jones(CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3%
125,126,Thomas Ives(CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
126,127,Tom Kennedy(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
127,128,Michael Pittman Jr.(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.6%
128,129,DeVonta Smith(PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.6%
129,130,Steven Sims Jr.(PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
130,131,Devin Duvernay(BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4%
131,132,KJ Hamler(DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8%
132,133,Brandon Aiyuk(SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.8%
133,134,Justin Jefferson(MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.9%
134,135,Laviska Shenault Jr.(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.3%
