,Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
52,53,Ty Montgomery(NO),71,273,3.8,37,1,3,23,31,173,7.5,1,0,8,68.6,8.6,0.6%
53,54,Adrian Peterson(SEA),156,529,3.4,27,2,2,11,19,70,6.4,0,2,10,67.9,6.8,4.9%
54,55,Mike Gillislee(FA),104,383,3.7,16,0,5,1,1,15,15.0,0,1,9,67.8,7.5,0.0%
55,56,Doug Martin(FA),138,406,2.9,27,1,3,9,18,84,9.3,0,1,11,67.0,6.1,0.0%
56,57,Alfred Morris(NYG),115,547,4.8,70,4,1,7,9,45,6.4,0,0,14,65.2,4.7,0.0%
57,58,Chris Ivory(FA),112,382,3.4,34,1,1,21,28,175,8.3,1,2,14,63.7,4.6,0.0%
58,59,J.D. McKissic(WAS),46,187,4.1,30,1,1,34,46,266,7.8,2,0,13,63.3,4.9,32.9%
59,60,Devontae Booker(NYG),79,299,3.8,26,1,1,30,38,275,9.2,0,1,13,61.4,4.7,23.3%
60,61,Elijah McGuire(FA),88,315,3.6,69,1,1,17,26,177,10.4,1,2,16,59.2,3.7,0.0%
61,62,Jalen Richard(LV),56,275,4.9,52,2,1,27,36,256,9.5,1,3,16,59.1,3.7,0.7%
62,63,Kerwynn Williams(FA),120,426,3.6,25,2,1,10,15,93,9.3,0,0,16,57.9,3.6,0.0%
63,64,T.J. Yeldon(FA),49,253,5.2,58,2,2,30,41,224,7.5,0,1,10,57.7,5.8,0.0%
64,65,Dalvin Cook(MIN),74,354,4.8,33,4,2,11,16,90,8.2,0,1,4,54.4,13.6,100.0%
65,66,D'Onta Foreman(TEN),78,327,4.2,39,3,2,6,8,83,13.8,0,1,10,51.0,5.1,66.5%
66,67,DeAndre Washington(FA),57,153,2.7,11,0,2,34,45,197,5.8,1,1,15,51.0,3.4,11.0%
67,68,Andre Ellington(FA),20,55,2.8,14,0,1,39,59,369,9.5,0,0,12,48.4,4.0,0.1%
68,69,Charcandrick West(FA),18,72,4.0,21,1,2,27,34,150,5.6,2,0,13,46.2,3.6,0.0%
69,70,Jamaal Charles(FA),69,296,4.3,19,0,1,23,28,129,5.6,0,2,14,44.5,3.2,0.1%
70,71,Shane Vereen(FA),45,164,3.6,17,0,0,44,53,253,5.8,0,0,16,39.7,2.5,0.0%
71,72,Damien Williams(CHI),46,181,3.9,69,1,0,20,28,155,7.8,1,0,11,39.6,3.6,4.4%
72,73,Robert Kelley(FA),62,194,3.1,21,1,3,4,7,18,4.5,0,0,7,39.2,5.6,0.0%
73,74,Corey Grant(FA),30,248,8.3,58,3,2,3,4,41,13.7,0,1,16,38.9,2.4,0.0%
74,75,Charles Sims(FA),21,95,4.5,21,1,0,35,47,249,7.1,1,1,16,38.4,2.4,0.0%
75,76,Jacquizz Rodgers(FA),64,244,3.8,36,1,1,9,11,74,8.2,0,0,16,37.8,2.4,0.0%
76,77,Alfred Blue(FA),71,262,3.7,48,1,1,7,9,54,7.7,0,0,11,37.6,3.4,0.0%
77,78,Mike Davis(ATL),68,240,3.5,33,3,0,15,18,131,8.7,0,0,6,37.1,6.2,49.7%
78,79,Benny Cunningham Jr.(FA),9,29,3.2,12,0,0,20,26,240,12.0,2,1,14,36.9,2.6,0.0%
79,80,Kyle Juszczyk(SF),7,31,4.4,12,0,0,33,42,315,9.5,1,2,14,36.6,2.6,1.0%
80,81,Mike Tolbert(FA),66,247,3.7,25,1,1,14,17,78,5.6,0,1,12,36.5,3.0,0.0%
81,82,Malcolm Brown(MIA),63,246,3.9,20,1,1,9,11,53,5.9,0,0,11,35.9,3.3,3.6%
82,83,Wendell Smallwood(FA),47,174,3.7,26,2,1,13,18,103,7.9,0,0,8,33.7,4.2,0.0%
83,84,Chris Carson(SEA),49,208,4.2,30,1,0,7,8,59,8.4,1,0,4,32.7,8.2,31.7%
84,85,Tion Green(FA),42,165,3.9,33,1,2,2,2,14,7.0,0,0,5,29.9,6.0,0.0%
85,86,Elijhaa Penny(NYG),31,124,4.0,14,0,2,4,6,38,9.5,0,0,16,28.2,1.8,0.1%
86,87,Kapri Bibbs(FA),21,79,3.8,16,0,0,14,17,128,9.1,1,0,3,26.7,8.9,0.1%
87,88,Terrance West(FA),39,138,3.5,13,0,2,2,4,23,11.5,0,1,5,26.1,5.2,0.0%
88,89,Danny Woodhead(FA),14,56,4.0,10,0,0,33,39,200,6.1,0,0,8,25.6,3.2,20.6%
89,90,Thomas Rawls(FA),58,157,2.7,23,1,0,9,13,94,10.4,0,1,12,23.1,1.9,0.1%
90,91,Tommy Bohanon(FA),5,5,1.0,3,0,2,6,11,43,7.2,1,0,16,22.8,1.4,0.0%
91,92,Eddie Lacy(FA),69,179,2.6,19,0,0,6,6,47,7.8,0,0,9,22.6,2.5,0.3%
92,93,Travaris Cadet(FA),23,96,4.2,12,0,0,16,19,119,7.4,0,0,9,21.5,2.4,0.0%
93,94,Kenjon Barner(TB),16,57,3.6,18,0,1,5,8,56,11.2,0,0,13,17.3,1.3,0.0%
94,95,Robert Turbin(FA),23,53,2.3,7,0,1,9,11,56,6.2,0,0,6,16.9,2.8,0.0%
95,96,Stevan Ridley(FA),26,108,4.2,21,1,1,0,0,0,0,0,0,2,16.8,8.4,0.0%
96,97,Cameron Artis-Payne(FA),18,95,5.3,43,1,1,1,1,2,2.0,0,0,13,15.7,1.2,0.0%
97,98,Chris Johnson(FA),45,114,2.5,11,0,0,5,6,43,8.6,0,0,4,15.7,3.9,0.6%
98,99,D.J. Foster(FA),6,19,3.2,5,0,0,17,28,133,7.8,0,0,7,15.2,2.2,0.0%
99,100,Anthony Sherman(FA),14,40,2.9,9,0,1,6,8,47,7.8,0,0,16,14.7,0.9,0.0%
100,101,James Conner(ARI),32,144,4.5,23,1,0,0,1,0,0,0,0,14,14.4,1.0,94.6%
101,102,C.J. Ham(MIN),7,13,1.9,3,0,1,7,8,68,9.7,0,0,16,14.1,0.9,0.1%
102,103,Jamize Olawale(DAL),9,43,4.8,11,0,1,6,7,33,5.5,0,0,12,13.6,1.1,0.0%
103,104,Paul Perkins(FA),41,90,2.2,14,0,0,8,10,46,5.8,0,0,11,13.6,1.2,0.0%
104,105,Jeremy Hill(FA),37,116,3.1,13,0,0,4,4,16,4.0,0,0,7,13.2,1.9,0.0%
105,106,Roosevelt Nix(FA),3,0,0.0,1,0,1,2,3,6,3.0,1,0,16,12.6,0.8,0.0%
106,107,Fozzy Whittaker(FA),7,18,2.6,8,0,0,5,6,47,9.4,1,0,12,12.5,1.0,0.0%
107,108,Terron Ward(FA),30,129,4.3,17,0,0,3,3,14,4.7,0,1,14,12.3,0.9,0.0%
108,109,Darren Sproles(FA),15,61,4.1,12,0,0,7,12,73,10.4,0,1,3,11.4,3.8,0.1%
109,110,Lance Dunbar(FA),11,51,4.6,12,0,1,1,3,1,1.0,0,0,4,11.2,2.8,0.0%
110,111,C.J. Prosise(FA),11,23,2.1,8,0,0,6,11,87,14.5,0,0,5,11.0,2.2,0.0%
111,112,Branden Oliver(FA),35,83,2.4,26,1,0,6,11,26,4.3,0,0,8,10.9,1.4,0.0%
112,113,De'Angelo Henderson Sr.(FA),7,13,1.9,5,0,0,2,2,36,18.0,1,0,5,10.9,2.2,0.0%
113,114,Trey Edmunds(PIT),9,48,5.3,41,1,1,0,0,0,0,0,0,16,10.8,0.7,0.0%
114,115,Andy Janovich(CLE),6,12,2.0,4,0,1,4,6,35,8.8,0,0,16,10.7,0.7,0.1%
115,116,Zach Line(FA),7,28,4.0,9,0,0,2,5,8,4.0,1,0,12,9.6,0.8,0.0%
116,117,Zach Zenner(FA),14,26,1.9,14,0,1,0,1,0,0,0,0,8,8.6,1.1,0.0%
117,118,Brandon Bolden(NE),13,67,5.2,20,1,0,1,4,7,7.0,0,0,16,7.4,0.5,10.7%
118,119,Brian Hill(SF),11,37,3.4,11,0,0,2,2,36,18.0,0,0,7,7.3,1.0,0.1%
119,120,David Johnson(HOU),11,23,2.1,6,0,0,6,9,67,11.2,0,1,1,7.1,7.1,35.4%
120,121,Byron Marshall(FA),9,32,3.6,11,0,0,6,8,36,6.0,0,0,4,6.8,1.7,0.1%
121,122,Tre Madden(FA),0,0,0,0,0,0,2,2,65,32.5,0,0,8,6.5,0.8,0.1%
122,123,Jalston Fowler(FA),2,4,2.0,3,0,1,0,1,0,0,0,0,10,6.4,0.6,0.0%
123,124,Derek Watt(PIT),6,24,4.0,17,0,0,2,3,35,17.5,0,0,16,5.9,0.4,0.1%
124,125,Dwayne Washington(NO),20,44,2.2,6,0,0,2,2,14,7.0,0,0,5,5.8,1.2,0.1%
125,126,Akeem Hunt(FA),8,23,2.9,11,0,0,4,7,31,7.8,0,0,15,5.4,0.4,0.0%
126,127,Aaron Ripkowski(FA),5,13,2.6,4,0,0,7,10,39,5.6,0,0,16,5.2,0.3,0.0%
127,128,Tyler Ervin(FA),4,12,3.0,6,0,0,8,11,38,4.8,0,0,4,5.0,1.3,0.0%
128,129,Marcus Murphy(FA),7,41,5.9,25,1,0,2,2,7,3.5,0,0,1,4.8,4.8,0.0%
129,130,Matt Dayes(FA),5,13,2.6,4,0,0,4,5,29,7.3,0,0,16,4.1,0.3,0.0%
130,131,Mack Brown(FA),8,29,3.6,11,0,0,1,1,11,11.0,0,0,4,4.0,1.0,0.0%
131,132,James Develin(FA),0,0,0,0,0,0,6,10,38,6.3,0,0,16,3.8,0.2,0.0%
132,133,Fitzgerald Toussaint(FA),6,25,4.2,7,0,0,2,3,9,4.5,0,0,6,3.4,0.6,0.0%
133,134,Senorise Perry(FA),8,30,3.8,12,0,0,1,1,3,3.0,0,0,16,3.3,0.2,0.0%
134,135,Jay Prosch(FA),0,0,0,0,0,0,4,4,31,7.8,0,0,16,3.1,0.2,0.0%
135,136,Derrick Coleman(FA),2,8,4.0,5,0,0,2,7,20,10.0,0,0,16,2.8,0.2,0.1%
136,137,De'Veon Smith(FA),0,0,0,0,0,0,3,3,27,9.0,0,0,5,2.7,0.5,0.0%
137,138,Keith Smith(ATL),0,0,0,0,0,0,5,5,26,5.2,0,0,16,2.6,0.2,0.0%
138,139,Patrick DiMarco(FA),2,-2,-1.0,0,0,0,7,10,28,4.0,0,0,16,2.6,0.2,0.0%
139,140,Andre Williams(FA),9,25,2.8,7,0,0,0,0,0,0,0,0,8,2.5,0.3,0.0%
140,141,Josh Ferguson(FA),1,5,5.0,5,0,0,3,4,16,5.3,0,0,10,2.1,0.2,0.0%
141,142,David Fluellen(FA),4,21,5.3,10,0,0,0,1,0,0,0,0,16,2.1,0.1,0.0%
142,143,Bobby Rainey(FA),1,2,2.0,2,0,0,5,7,18,3.6,0,0,4,2.0,0.5,0.0%
143,144,Danny Vitale(FA),0,0,0,0,0,0,3,5,19,6.3,0,0,15,1.9,0.1,0.0%
144,145,Michael Burton(KC),4,9,2.3,7,0,0,2,4,8,4.0,0,0,16,1.7,0.1,0.1%
145,146,Matt Jones(FA),5,14,2.8,5,0,0,0,0,0,0,0,0,5,1.4,0.3,0.0%
146,147,LeShun Daniels(FA),3,14,4.7,8,0,0,0,0,0,0,0,0,4,1.4,0.4,0.0%
147,148,Taiwan Jones(BUF),0,0,0,0,0,0,1,2,11,11.0,0,0,8,1.1,0.1,0.0%
148,149,Raheem Mostert(SF),6,30,5.0,16,0,0,0,0,0,0,0,1,11,1.0,0.1,13.0%
149,150,Terrell Watson(FA),5,8,1.6,3,0,0,0,0,0,0,0,0,10,0.8,0.1,0.0%
150,151,Ryan Hewitt(FA),0,0,0,0,0,0,2,2,22,11.0,0,0,13,0.6,0.0,0.0%
151,152,Joe Kerridge(FA),0,0,0,0,0,0,1,1,3,3.0,0,0,4,0.3,0.1,0.0%
152,153,John Kuhn(FA),1,2,2.0,2,0,0,0,0,0,0,0,0,2,0.2,0.1,0.0%
153,154,Justin Davis(FA),1,1,1.0,1,0,0,0,0,0,0,0,0,4,0.1,0.0,0.0%
154,155,Jonathan Ward(ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
