,Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
0,1,Derrick Henry(TEN),378,"2,027",5.4,94,0,17,19,31,114,6.0,0,2,16,314.1,19.6,78.0%
1,2,Alvin Kamara(NO),187,932,5.0,49,0,16,83,107,756,9.1,5,0,15,294.8,19.7,100.0%
2,3,Dalvin Cook(MIN),312,"1,557",5.0,70,0,16,44,54,361,8.2,1,3,14,293.8,21.0,100.0%
3,4,Jonathan Taylor(IND),232,"1,169",5.0,62,0,11,36,40,299,8.3,1,1,15,216.8,14.5,100.0%
4,5,Aaron Jones(GB),201,"1,104",5.5,77,0,9,47,63,355,7.6,2,0,14,211.9,15.1,98.9%
5,6,David Montgomery(CHI),247,"1,070",4.3,80,0,8,54,68,438,8.1,2,1,15,210.8,14.1,98.7%
6,7,James Robinson(JAC),240,"1,070",4.5,47,0,7,49,60,344,7.0,3,1,14,201.4,14.4,76.3%
7,8,Josh Jacobs(LV),273,"1,065",3.9,28,0,12,33,45,238,7.2,0,2,15,198.3,13.2,98.0%
8,9,Nick Chubb(CLE),190,"1,067",5.6,59,0,12,16,18,150,9.4,0,1,12,191.7,16.0,99.8%
9,10,Kareem Hunt(CLE),198,841,4.2,33,0,6,38,51,304,8.0,5,0,16,180.5,11.3,82.1%
10,11,Ezekiel Elliott(DAL),244,979,4.0,31,0,6,52,71,338,6.5,2,5,15,171.7,11.4,99.7%
11,12,Kenyan Drake(LV),239,955,4.0,69,0,10,25,31,137,5.5,0,1,15,167.2,11.1,29.4%
12,13,Melvin Gordon III(DEN),215,986,4.6,65,0,9,32,44,158,4.9,1,4,15,166.4,11.1,87.8%
13,14,Antonio Gibson(WAS),170,795,4.7,40,0,11,36,44,247,6.9,0,2,14,166.2,11.9,95.9%
14,15,Ronald Jones II(TB),192,978,5.1,98,0,7,28,42,165,5.9,1,2,14,158.3,11.3,83.5%
15,16,Chris Carson(SEA),141,681,4.8,29,0,5,37,46,287,7.8,4,0,12,150.8,12.6,31.7%
16,17,J.K. Dobbins(BAL),134,805,6.0,72,0,9,18,24,120,6.7,0,0,15,150.5,10.0,10.3%
17,18,Mike Davis(ATL),165,642,3.9,25,0,6,59,70,373,6.3,2,1,15,147.5,9.8,49.7%
18,19,David Johnson(HOU),147,691,4.7,48,0,6,33,46,314,9.5,2,1,12,146.5,12.2,35.4%
19,20,D'Andre Swift(DET),114,521,4.6,54,0,8,46,57,357,7.8,2,2,13,143.8,11.1,97.2%
20,21,Miles Sanders(PHI),164,867,5.3,82,0,6,28,52,197,7.0,0,2,12,142.4,11.9,77.0%
21,22,Clyde Edwards-Helaire(KC),181,803,4.4,31,0,4,36,54,297,8.3,1,0,13,140.0,10.8,86.8%
22,23,Todd Gurley II(FA),195,678,3.5,35,0,9,25,35,164,6.6,0,0,15,138.2,9.2,0.4%
23,24,Nyheim Hines(IND),89,380,4.3,31,0,3,63,76,482,7.7,4,0,16,130.2,8.1,44.8%
24,25,James Conner(ARI),169,721,4.3,59,0,6,35,43,215,6.1,0,0,13,129.6,10.0,94.6%
25,26,Jeff Wilson Jr.(SF),126,600,4.8,34,0,7,13,28,133,10.2,3,2,12,129.3,10.8,56.1%
26,27,Myles Gaskin(MIA),142,584,4.1,26,0,3,41,47,388,9.5,2,2,10,123.2,12.3,83.2%
27,28,Gus Edwards(BAL),144,723,5.0,36,0,6,9,13,129,14.3,0,1,16,119.2,7.5,9.6%
28,29,Wayne Gallman Jr.(MIN),147,682,4.6,60,0,6,21,27,114,5.4,0,0,15,115.6,7.7,1.0%
29,30,Chase Edmonds(ARI),97,448,4.6,32,0,1,53,67,402,7.6,4,0,16,115.0,7.2,85.1%
30,31,Darrell Henderson Jr.(LAR),138,624,4.5,40,0,5,16,24,159,9.9,1,0,15,114.3,7.6,76.0%
31,32,Latavius Murray(BAL),146,656,4.5,36,0,4,23,26,176,7.7,1,0,15,113.2,7.5,22.2%
32,33,Adrian Peterson(SEA),156,604,3.9,38,0,7,12,18,101,8.4,0,0,16,112.5,7.0,4.9%
33,34,J.D. McKissic(WAS),85,365,4.3,17,0,1,80,110,589,7.4,2,1,16,111.4,7.0,32.9%
34,35,Austin Ekeler(LAC),116,530,4.6,27,0,1,54,65,403,7.5,2,0,10,111.3,11.1,99.9%
35,36,Giovani Bernard(TB),124,416,3.4,15,0,3,47,59,355,7.6,3,1,16,111.1,6.9,5.4%
36,37,Devin Singletary(BUF),156,687,4.4,51,0,2,38,50,269,7.1,0,1,16,105.6,6.6,89.1%
37,38,Jamaal Williams(DET),119,505,4.2,25,0,2,31,35,236,7.6,1,0,14,96.1,6.9,58.2%
38,39,Leonard Fournette(TB),97,367,3.8,46,0,6,36,47,233,6.5,0,0,13,96.0,7.4,74.8%
39,40,Jerick McKinnon(KC),81,319,3.9,55,0,5,33,46,253,7.7,1,0,16,93.2,5.8,0.8%
40,41,Tony Pollard(DAL),101,435,4.3,42,0,4,28,40,193,6.9,1,0,16,92.8,5.8,75.3%
41,42,Cam Akers(LAR),145,625,4.3,61,0,2,11,14,123,11.2,1,1,12,90.8,7.6,13.8%
42,43,Zack Moss(BUF),112,481,4.3,31,0,4,14,18,95,6.8,1,0,13,87.6,6.7,36.8%
43,44,Damien Harris(NE),137,691,5.0,41,0,2,5,7,52,10.4,0,0,10,86.3,8.6,89.8%
44,45,Malcolm Brown(MIA),101,419,4.1,19,0,5,23,33,162,7.0,0,1,16,86.1,5.4,3.6%
45,46,Frank Gore(FA),187,653,3.5,17,0,2,16,19,89,5.6,0,1,15,84.2,5.6,12.2%
46,47,Raheem Mostert(SF),104,521,5.0,80,0,2,16,19,156,9.8,1,1,8,83.7,10.5,13.0%
47,48,Rex Burkhead(HOU),67,274,4.1,18,0,3,25,33,192,7.7,3,0,10,82.6,8.3,31.5%
48,49,Joe Mixon(CIN),119,428,3.6,34,0,3,21,26,138,6.6,1,1,6,78.6,13.1,98.1%
49,50,Alexander Mattison(MIN),96,434,4.5,25,0,2,13,15,125,9.6,1,0,13,73.9,5.7,75.0%
50,51,Christian McCaffrey(CAR),59,225,3.8,15,0,5,17,19,149,8.8,1,0,3,73.3,24.4,47.2%
51,52,Boston Scott(PHI),80,374,4.7,56,0,1,25,36,212,8.5,1,0,16,70.6,4.4,27.7%
52,53,Brian Hill(SF),100,465,4.7,62,0,1,25,30,199,8.0,0,1,16,70.4,4.4,0.1%
53,54,Carlos Hyde(JAC),81,356,4.4,50,0,4,16,20,93,5.8,0,0,10,68.9,6.9,6.9%
54,55,Devontae Booker(NYG),93,423,4.5,43,0,3,17,21,84,4.9,0,0,16,68.7,4.3,23.3%
55,56,Sony Michel(LAR),79,449,5.7,48,0,1,7,9,114,16.3,1,0,9,68.3,7.6,89.4%
56,57,James White(NE),35,121,3.5,10,0,2,49,62,375,7.7,1,0,14,67.6,4.8,7.9%
