,Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
0,1,Ezekiel Elliott(DAL),17,95,5.6,13,0,2,3,3,21,7.0,0,0,1,23.6,23.6,99.7%
1,2,Kareem Hunt(CLE),10,81,8.1,29,0,1,6,7,74,12.3,0,0,1,21.5,21.5,82.1%
2,3,Peyton Barber(LV),23,111,4.8,27,0,1,3,5,31,10.3,0,0,1,20.2,20.2,1.2%
3,4,James Robinson(JAC),15,88,5.9,21,0,1,6,6,46,7.7,0,0,1,19.4,19.4,76.3%
4,5,Alvin Kamara(NO),24,89,3.7,11,0,0,3,4,29,9.7,1,0,1,17.8,17.8,100.0%
5,6,James Conner(ARI),11,43,3.9,11,0,2,1,1,10,10.0,0,0,1,17.3,17.3,94.6%
6,7,Alexander Mattison(MIN),26,112,4.3,24,0,0,6,8,59,9.8,0,0,1,17.1,17.1,75.0%
7,8,Austin Ekeler(LAC),11,55,5.0,11,0,0,6,6,52,8.7,1,0,1,16.7,16.7,99.9%
8,9,D'Andre Swift(DET),14,47,3.4,14,0,1,7,7,60,8.6,0,0,1,16.7,16.7,97.2%
9,10,Antonio Gibson(WAS),12,31,2.6,7,0,0,1,2,73,73.0,1,0,1,16.4,16.4,95.9%
10,11,Derrick Henry(TEN),28,113,4.0,19,0,0,3,3,31,10.3,0,0,1,16.4,16.4,78.0%
11,12,Aaron Jones(GB),19,82,4.3,12,0,1,2,2,14,7.0,0,0,1,15.6,15.6,98.9%
12,13,Saquon Barkley(NYG),16,51,3.2,15,0,1,6,7,43,7.2,0,0,1,15.4,15.4,97.6%
13,14,Zack Moss(BUF),13,60,4.6,9,0,0,3,3,31,10.3,1,0,1,15.1,15.1,36.8%
14,15,Clyde Edwards-Helaire(KC),17,100,5.9,14,0,0,2,2,9,4.5,1,1,1,14.9,14.9,86.8%
15,16,Chris Carson(SEA),12,80,6.7,30,0,1,2,2,2,1.0,0,0,1,14.2,14.2,31.7%
16,17,Melvin Gordon III(DEN),18,60,3.3,10,0,1,1,2,21,21.0,0,0,1,14.2,14.2,87.8%
