,Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
0,1,Jonathan Taylor(IND),32,143,4.5,16,0,2,0,0,0,0,0,1,1,24.3,24.3,100.0%
1,2,Javonte Williams(DEN),23,102,4.4,14,0,0,6,9,76,12.7,1,0,1,23.8,23.8,92.7%
2,3,David Montgomery(CHI),21,90,4.3,24,0,1,8,9,51,6.4,0,0,1,20.1,20.1,98.7%
3,4,Sony Michel(LAR),24,121,5.0,25,0,1,3,4,8,2.7,0,0,1,18.9,18.9,89.4%
4,5,Alexander Mattison(MIN),22,90,4.1,11,0,1,3,3,34,11.3,0,0,1,18.4,18.4,75.0%
5,6,James Conner(ARI),20,75,3.8,21,0,0,2,2,36,18.0,1,0,1,17.1,17.1,94.6%
6,7,Damien Harris(NE),10,111,11.1,64,0,1,0,0,0,0,0,0,1,17.1,17.1,89.8%
7,8,Antonio Gibson(WAS),23,88,3.8,22,0,0,5,6,23,4.6,1,0,1,17.1,17.1,95.9%
8,9,Devonta Freeman(BAL),14,52,3.7,18,0,1,5,8,45,9.0,0,0,1,15.7,15.7,74.2%
9,10,Leonard Fournette(TB),13,44,3.4,9,0,0,7,8,48,6.9,1,0,1,15.2,15.2,74.8%
10,11,Josh Jacobs(LV),13,52,4.0,15,0,1,9,9,38,4.2,0,0,1,15.0,15.0,98.0%
11,12,Travis Homer(SEA),3,80,26.7,73,0,1,4,5,10,2.5,0,0,1,15.0,15.0,0.3%
12,13,Kenneth Gainwell(PHI),12,54,4.5,18,0,1,5,5,33,6.6,0,0,1,14.7,14.7,12.8%
13,14,Elijah Mitchell(SF),22,66,3.0,9,0,1,3,3,18,6.0,0,0,1,14.4,14.4,88.5%
14,15,Miles Sanders(PHI),24,120,5.0,34,0,0,3,3,22,7.3,0,0,1,14.2,14.2,77.0%
15,16,Tony Pollard(DAL),7,71,10.1,58,0,1,2,4,3,1.5,0,0,1,13.4,13.4,75.3%
16,17,Mike Davis(ATL),4,32,8.0,17,0,1,4,4,37,9.3,0,0,1,12.9,12.9,49.7%
17,18,Austin Ekeler(LAC),14,59,4.2,15,0,1,5,5,45,9.0,0,2,1,12.4,12.4,99.9%
18,19,Najee Harris(PIT),21,71,3.4,13,0,0,5,5,36,7.2,0,0,1,10.7,10.7,99.9%
19,20,Cordarrelle Patterson(ATL),13,78,6.0,39,0,0,3,5,18,6.0,0,0,1,9.6,9.6,95.1%
20,21,Joe Mixon(CIN),19,54,2.8,10,0,1,0,1,0,0,0,1,1,9.4,9.4,98.1%
21,22,Clyde Edwards-Helaire(KC),14,54,3.9,10,0,0,3,3,28,9.3,0,0,1,8.2,8.2,86.8%
22,23,Darrel Williams(KC),5,20,4.0,12,0,0,3,3,60,20.0,0,0,1,8.0,8.0,79.6%
23,24,Jamaal Williams(DET),17,71,4.2,11,0,0,1,1,9,9.0,0,0,1,8.0,8.0,58.2%
24,25,Deon Jackson(IND),6,19,3.2,10,0,1,0,0,0,0,0,0,1,7.9,7.9,0.0%
25,26,Rhamondre Stevenson(NE),24,78,3.3,11,0,0,0,0,0,0,0,0,1,7.8,7.8,50.4%
26,27,Tevin Coleman(NYJ),11,58,5.3,17,0,0,3,4,19,6.3,0,0,1,7.7,7.7,18.5%
27,28,Adrian Peterson(SEA),11,16,1.5,7,0,1,0,0,0,0,0,0,1,7.6,7.6,4.9%
28,29,Saquon Barkley(NYG),11,55,5.0,23,0,0,6,9,19,3.2,0,0,1,7.4,7.4,97.6%
29,30,Carlos Hyde(JAC),9,24,2.7,10,0,1,1,1,-1,-1.0,0,1,1,6.3,6.3,6.9%
30,31,Rashaad Penny(SEA),10,35,3.5,11,0,0,1,1,27,27.0,0,0,1,6.2,6.2,78.9%
31,32,Nyheim Hines(IND),3,24,8.0,10,0,0,3,4,32,10.7,0,0,1,5.6,5.6,44.8%
32,33,Brandon Bolden(NE),4,28,7.0,16,0,0,1,1,7,7.0,0,0,1,5.5,5.5,10.7%
33,34,Mike Boone(DEN),4,35,8.8,16,0,0,1,1,19,19.0,0,0,1,5.4,5.4,1.5%
34,35,Devontae Booker(NYG),6,36,6.0,17,0,0,4,4,18,4.5,0,0,1,5.4,5.4,23.3%
35,36,Myles Gaskin(MIA),15,44,2.9,6,0,0,2,2,5,2.5,0,0,1,4.9,4.9,83.2%
36,37,Ezekiel Elliott(DAL),13,45,3.5,10,0,0,2,3,2,1.0,0,0,1,4.7,4.7,99.7%
37,38,Rex Burkhead(HOU),8,30,3.8,7,0,0,1,2,15,15.0,0,0,1,4.5,4.5,31.5%
38,39,Samaje Perine(CIN),5,36,7.2,17,0,0,2,2,5,2.5,0,0,1,4.1,4.1,15.2%
39,40,Devin Singletary(BUF),10,36,3.6,17,0,0,0,0,0,0,0,0,1,3.6,3.6,89.1%
40,41,Latavius Murray(BAL),2,1,0.5,3,0,0,2,2,34,17.0,0,0,1,3.5,3.5,22.2%
41,42,Zack Moss(BUF),8,21,2.6,4,0,0,2,3,12,6.0,0,0,1,3.3,3.3,36.8%
42,43,Ty Montgomery(NO),4,21,5.3,9,0,0,4,7,9,2.3,0,0,1,3.0,3.0,0.6%
43,44,Khalil Herbert(CHI),4,16,4.0,7,0,0,1,1,11,11.0,0,0,1,2.7,2.7,13.4%
44,45,Mark Ingram II(NO),10,28,2.8,9,0,0,1,2,-2,-2.0,0,0,1,2.6,2.6,39.1%
45,46,Wendell Smallwood(FA),1,13,13.0,13,0,0,2,2,12,6.0,0,0,1,2.5,2.5,0.0%
46,47,Salvon Ahmed(MIA),8,23,2.9,11,0,0,0,0,0,0,0,0,1,2.3,2.3,1.6%
47,48,Kyle Juszczyk(SF),0,0,0,0,0,0,2,3,21,10.5,0,0,1,2.1,2.1,1.0%
