player,position,team,games,snaps,snaps_per_game,snaps_percent,rush_percent,tgt_percent,touch_percent,util_percent,fantasy_points,points_per_100_snaps,week,year
Aaron Rodgers,QB,GB,1,59,59,100,12,0,51,51,23.7,40.2,6,2012
Ben Roethlisberger,QB,PIT,1,75,75,100,3,0,56,56,10.9,14.5,6,2012
DeSean Jackson,WR,LAR,1,16,16,24,0,6,6,6,0.6,3.8,6,2012
Jared Cook,TE,LAC,1,36,36,64,0,19,11,19,8.5,23.6,6,2012
Marcedes Lewis,TE,GB,1,40,40,68,0,5,5,5,1.7,4.3,6,2012
Matthew Stafford,QB,LAR,1,56,56,85,4,0,54,54,26.2,46.8,6,2012
Tom Brady,QB,TB,1,75,75,100,5,0,61,61,19.0,25.3,6,2012
Andre Roberts,WR,HOU,1,2,2,3,0,0,0,0,0.0,0.0,6,2012
Colt McCoy,QB,ARI,1,7,7,9,43,0,43,43,-0.3,-4.3,6,2012
Emmanuel Sanders,WR,BUF,1,71,71,92,0,11,7,11,9.1,12.8,6,2012
Antonio Brown,WR,TB,1,37,37,49,0,35,24,35,15.3,41.4,6,2012
A.J. Green,WR,ARI,1,68,68,91,0,9,7,9,13.9,20.4,6,2012
Julio Jones,WR,TEN,1,35,35,66,0,14,9,14,5.9,16.9,6,2012
Mark Ingram II,RB,HOU,1,33,33,44,55,6,61,61,8.1,24.5,6,2012
Kyle Rudolph,TE,NYG,1,34,34,45,0,6,3,6,2.8,8.2,6,2012
Ryan Tannehill,QB,TEN,1,53,53,100,4,0,58,58,13.9,26.2,6,2012
Kirk Cousins,QB,MIN,1,89,89,100,2,0,56,56,28.5,32.0,6,2012
T.Y. Hilton,WR,IND,1,24,24,50,0,17,17,17,8.0,33.3,6,2012
Marvin Jones Jr.,WR,JAC,1,57,57,86,0,18,12,18,16.0,28.1,6,2012
Brandon Bolden,RB,NE,1,11,11,20,9,9,18,18,0.2,1.8,6,2012
Case Keenum,QB,CLE,1,4,4,7,0,0,75,75,0.2,5.0,6,2012
Cole Beasley,WR,BUF,1,67,67,87,0,13,10,13,14.8,22.1,6,2012
Travis Kelce,TE,KC,1,67,67,82,0,16,12,16,9.9,14.8,6,2012
Marquise Goodwin,WR,CHI,1,29,29,48,0,3,3,3,1.2,4.1,6,2012
DeAndre Hopkins,WR,ARI,1,67,67,89,0,6,4,6,17.5,26.1,6,2012
Robert Woods,WR,LAR,1,58,58,88,0,9,3,9,9.1,15.7,6,2012
Keenan Allen,WR,LAC,1,51,51,91,0,10,10,10,5.0,9.8,6,2012
Tavon Austin,WR,JAC,1,17,17,26,0,6,0,6,0.0,0.0,6,2012
