rank,player,fg,fg_att,fg_pct,long,1-19,20-29,30-39,40-49,50+,XPT,XPA,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1.0,Harrison Butker,4.0,4.0,100.0,46.0,0.0,2.0,1.0,1.0,0.0,4.0,4.0,1.0,17.0,17.0,76.6,KC,K,1,2019
2.0,Stephen Gostkowski,4.0,4.0,100.0,41.0,0.0,1.0,2.0,1.0,0.0,3.0,3.0,1.0,16.0,16.0,0.1,FA,K,1,2019
3.0,Greg Zuerlein,3.0,4.0,75.0,56.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0,1.0,15.0,15.0,74.2,DAL,K,1,2019
4.0,Wil Lutz,3.0,4.0,75.0,58.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,1.0,15.0,15.0,3.3,NO,K,1,2019
5.0,Zane Gonzalez,4.0,4.0,100.0,42.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,14.0,14.0,2.6,CAR,K,1,2019
6.0,Cairo Santos,2.0,2.0,100.0,53.0,0.0,0.0,1.0,0.0,1.0,5.0,5.0,1.0,13.0,13.0,2.1,CHI,K,1,2019
7.0,Robbie Gould,3.0,4.0,75.0,47.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,12.0,12.0,22.5,SF,K,1,2019
8.0,Joey Slye,2.0,3.0,66.7,52.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,1.0,12.0,12.0,1.6,WAS,K,1,2019
9.0,Dustin Hopkins,2.0,2.0,100.0,48.0,0.0,0.0,0.0,2.0,0.0,3.0,3.0,1.0,11.0,11.0,14.5,LAC,K,1,2019
10.0,Justin Tucker,1.0,1.0,100.0,34.0,0.0,0.0,1.0,0.0,0.0,8.0,8.0,1.0,11.0,11.0,98.0,BAL,K,1,2019
11.0,Matt Prater,2.0,2.0,100.0,55.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,1.0,11.0,11.0,52.8,ARI,K,1,2019
12.0,Brandon McManus,3.0,4.0,75.0,39.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,10.0,10.0,44.3,DEN,K,1,2019
13.0,Josh Lambo,2.0,2.0,100.0,37.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,8.0,8.0,3.2,FA,K,1,2019
14.0,Randy Bullock,2.0,3.0,66.7,39.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,8.0,8.0,10.8,TEN,K,1,2019
15.0,Ty Long,1.0,1.0,100.0,40.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,1.0,7.0,7.0,0.7,LAC,K,1,2019
16.0,Daniel Carlson,1.0,1.0,100.0,29.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,6.0,6.0,74.3,LV,K,1,2019
17.0,Jason Sanders,1.0,1.0,100.0,54.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0,6.0,22.6,MIA,K,1,2019
18.0,Jake Elliott,1.0,1.0,100.0,22.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,6.0,6.0,22.5,PHI,K,1,2019
19.0,Stephen Hauschka,1.0,1.0,100.0,43.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,6.0,6.0,0.0,FA,K,1,2019
20.0,Matt Gay,1.0,1.0,100.0,31.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,5.0,5.0,89.8,LAR,K,1,2019
21.0,Aldrick Rosas,1.0,1.0,100.0,28.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,5.0,5.0,1.8,FA,K,1,2019
22.0,Adam Vinatieri,1.0,3.0,33.3,44.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,5.0,5.0,0.2,FA,K,1,2019
23.0,Brett Maher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,5.0,5.0,1.9,FA,K,1,2019
24.0,Ka'imi Fairbairn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,4.0,4.0,0.8,HOU,K,1,2019
