rank,player,rushing_att,rushing_yds,rushing_avg,rushing_lng,rushing_20p,rushing_td,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_td,lst,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
37.0,Royce Freeman,10.0,56.0,5.6,26.0,1.0,0.0,1.0,1.0,5.0,5.0,0.0,0.0,1.0,6.1,6.1,5.2,DEN,RB,1,2019
38.0,Tevin Coleman,6.0,23.0,3.8,12.0,0.0,0.0,2.0,3.0,33.0,16.5,0.0,0.0,1.0,5.6,5.6,18.5,SF,RB,1,2019
39.0,Gus Edwards,17.0,56.0,3.3,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.6,5.6,9.6,BAL,RB,1,2019
40.0,Jordan Howard,6.0,44.0,7.3,17.0,0.0,0.0,2.0,3.0,11.0,5.5,0.0,0.0,1.0,5.5,5.5,18.7,PHI,RB,1,2019
41.0,Tarik Cohen,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,49.0,6.1,0.0,0.0,1.0,4.9,4.9,3.0,CHI,RB,1,2019
42.0,Alexander Mattison,9.0,49.0,5.4,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.9,4.9,75.0,MIN,RB,1,2019
43.0,David Montgomery,6.0,18.0,3.0,6.0,0.0,0.0,1.0,1.0,27.0,27.0,0.0,0.0,1.0,4.5,4.5,98.7,CHI,RB,1,2019
44.0,Peyton Barber,8.0,33.0,4.1,14.0,0.0,0.0,2.0,4.0,12.0,6.0,0.0,0.0,1.0,4.5,4.5,1.2,TB,RB,1,2019
45.0,Raheem Mostert,9.0,40.0,4.4,18.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,13.0,SF,RB,1,2019
46.0,Ito Smith,6.0,31.0,5.2,16.0,0.0,0.0,1.0,1.0,9.0,9.0,0.0,0.0,1.0,4.0,4.0,0.0,ATL,RB,1,2019
47.0,Aaron Jones,13.0,39.0,3.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.9,3.9,98.9,GB,RB,1,2019
48.0,Derrius Guice,10.0,18.0,1.8,5.0,0.0,0.0,3.0,3.0,20.0,6.7,0.0,0.0,1.0,3.8,3.8,1.1,WAS,RB,1,2019
49.0,Matt Breida,15.0,37.0,2.5,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.7,3.7,8.2,SF,RB,1,2019
50.0,Mike Davis,5.0,19.0,3.8,8.0,0.0,0.0,6.0,7.0,17.0,2.8,0.0,0.0,1.0,3.6,3.6,49.7,CIN,RB,1,2019
51.0,D'Ernest Johnson,1.0,13.0,13.0,13.0,0.0,0.0,2.0,2.0,23.0,11.5,0.0,0.0,1.0,3.6,3.6,18.7,CLE,RB,1,2019
52.0,C.J. Anderson,11.0,35.0,3.2,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.5,3.5,1.0,DET,RB,1,2019
53.0,Dare Ogunbowale,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,33.0,8.3,0.0,0.0,1.0,3.3,3.3,31.1,TB,RB,1,2019
54.0,Miles Sanders,11.0,25.0,2.3,19.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,2.7,2.7,77.0,PHI,RB,1,2019
55.0,Kenyan Drake,4.0,12.0,3.0,9.0,0.0,0.0,2.0,3.0,15.0,7.5,0.0,0.0,1.0,2.7,2.7,29.4,CIN,RB,1,2019
