Team,GP,ATT,YDS,AVG,YDS/G,LNG,TD,FUM,LST
Philadelphia Eagles,16,337,"1,267",3.8,79.2,53,7,3,2
Minnesota Vikings,16,364,"1,337",3.7,83.6,62,10,4,2
Carolina Panthers,16,353,"1,409",4.0,88.1,72,7,1,1
Tennessee Titans,16,398,"1,420",3.6,88.8,34,5,9,4
Denver Broncos,16,428,"1,430",3.3,89.4,47,9,4,2
Arizona Cardinals,16,406,"1,434",3.5,89.6,37,12,7,1
Cleveland Browns,16,467,"1,566",3.4,97.9,39,14,5,1
Dallas Cowboys,16,403,"1,664",4.1,104.0,71,7,6,1
Atlanta Falcons,16,402,"1,665",4.1,104.1,46,9,8,3
Pittsburgh Steelers,16,385,"1,693",4.4,105.8,90,14,4,2
Chicago Bears,16,432,"1,730",4.0,108.1,58,10,8,6
Oakland Raiders,16,433,"1,743",4.0,108.9,48,11,6,3
Houston Texans,16,440,"1,747",4.0,109.2,75,14,4,1
Miami Dolphins,16,431,"1,768",4.1,110.5,69,14,9,3
Baltimore Ravens,16,435,"1,780",4.1,111.3,59,12,5,3
New Orleans Saints,16,406,"1,787",4.4,111.7,50,11,5,1
Green Bay Packers,16,464,"1,793",3.9,112.1,37,10,6,4
Detroit Lions,16,432,"1,800",4.2,112.5,51,18,8,7
Seattle Seahawks,16,452,"1,824",4.0,114.0,75,14,8,4
New England Patriots,16,390,"1,836",4.7,114.8,87,6,6,3
Jacksonville Jaguars,16,429,"1,860",4.3,116.3,75,9,8,4
San Francisco 49ers,16,491,"1,861",3.8,116.3,45,13,10,2
Tampa Bay Buccaneers,16,440,"1,880",4.3,117.5,69,17,9,3
New York Jets,16,466,"1,887",4.0,117.9,70,13,9,4
Kansas City Chiefs,16,443,"1,890",4.3,118.1,27,15,4,2
Indianapolis Colts,16,488,"1,927",3.9,120.4,72,15,10,2
New York Giants,16,464,"1,933",4.2,120.8,51,10,3,1
Los Angeles Rams,16,417,"1,959",4.7,122.4,75,15,8,3
Buffalo Bills,16,466,"1,994",4.3,124.6,51,22,5,0
Cincinnati Bengals,16,489,"2,046",4.2,127.9,49,13,4,2
Los Angeles Chargers,16,430,"2,098",4.9,131.1,69,11,5,3
Washington Redskins,16,472,"2,146",4.5,134.1,75,13,8,3
