Team,GP,TOTAL,RUSH,PASS,PEN,MADE,ATT,PCT,MADE,ATT,PCT,TOTAL,YDS
New England Patriots,16,389,107,232,50,82,202,40.6,8,13,61.5,95,835
Tampa Bay Buccaneers,16,352,76,243,33,85,196,43.4,4,8,50.0,104,795
Pittsburgh Steelers,16,348,96,217,35,92,209,44.0,3,8,37.5,101,896
Philadelphia Eagles,16,338,108,193,37,96,230,41.7,17,26,65.4,116,962
Los Angeles Chargers,16,337,84,220,33,84,209,40.2,5,11,45.5,108,927
Minnesota Vikings,16,334,100,196,38,94,216,43.5,1,7,14.3,100,949
New Orleans Saints,16,332,111,201,20,73,194,37.6,12,15,80.0,105,962
Jacksonville Jaguars,16,332,101,193,38,85,227,37.5,10,13,76.9,112,936
Atlanta Falcons,16,330,101,200,29,88,197,44.7,4,13,30.8,102,918
Kansas City Chiefs,16,322,95,198,29,78,199,39.2,3,10,30.0,118,"1,044"
San Francisco 49ers,16,321,88,206,27,91,234,38.9,8,18,44.4,123,988
Carolina Panthers,16,320,121,167,32,93,222,41.9,5,11,45.5,83,682
Dallas Cowboys,16,314,127,162,25,87,203,42.9,10,19,52.6,97,939
Houston Texans,16,313,86,180,47,76,209,36.4,5,10,50.0,124,"1,050"
Los Angeles Rams,16,311,97,185,29,88,214,41.1,5,12,41.7,107,922
Baltimore Ravens,16,311,111,168,32,76,223,34.1,10,16,62.5,91,749
Arizona Cardinals,16,310,66,200,44,82,233,35.2,7,16,43.8,110,880
Green Bay Packers,16,307,99,176,32,83,211,39.3,15,28,53.6,96,789
Seattle Seahawks,16,299,85,183,31,79,212,37.3,5,9,55.6,148,"1,342"
Denver Broncos,16,297,92,180,25,94,241,39.0,7,20,35.0,113,885
Detroit Lions,16,296,58,210,28,81,209,38.8,1,9,11.1,104,968
Cleveland Browns,16,290,97,157,36,73,216,33.8,12,23,52.2,110,924
Tennessee Titans,16,290,97,157,36,71,202,35.2,5,10,50.0,85,785
Oakland Raiders,16,287,78,178,31,82,204,40.2,8,24,33.3,114,"1,009"
Miami Dolphins,16,284,66,187,31,64,202,31.7,7,24,29.2,137,"1,154"
Buffalo Bills,16,278,105,149,24,101,241,41.9,2,15,13.3,98,872
Washington Redskins,16,278,66,191,21,66,204,32.4,9,16,56.3,92,732
New York Giants,16,271,66,178,27,74,227,32.6,8,21,38.1,91,895
New York Jets,16,269,77,157,35,81,228,35.5,7,13,53.9,119,"1,035"
Chicago Bears,16,267,93,144,30,71,205,34.6,7,18,38.9,115,943
Cincinnati Bengals,16,267,72,165,30,67,199,33.7,5,12,41.7,110,"1,027"
Indianapolis Colts,16,267,94,148,25,87,228,38.2,8,17,47.1,92,779
