team,games,passing_cmp,passing_att,passing_cmp_percent,passing_yds,passing_ya,passing_yds_per_game,passing_longest_pass,passing_td,passing_int,passing_sack,sack_yards_lost,passer_rating,year
LAC,16,366,583,62.8,4431,7.8,276.9,75,28,11,18,120,95.1,2017
NE,16,389,587,66.3,4418,7.9,276.1,64,32,8,35,201,102.6,2017
PIT,16,384,590,65.1,4380,7.7,273.8,97,29,15,24,154,94.1,2017
TB,16,378,605,62.5,4366,7.6,272.9,70,26,14,40,241,90.6,2017
NO,16,386,536,72.0,4189,8.1,261.8,54,23,8,20,145,103.9,2017
DET,16,374,570,65.6,4183,7.8,261.4,71,29,11,47,287,98.4,2017
KC,16,363,543,66.9,4104,8.0,256.5,79,26,8,37,222,100.8,2017
ATL,16,343,530,64.7,3990,7.8,249.4,88,21,12,24,156,92.4,2017
SF,16,362,607,59.6,3925,7.0,245.3,83,15,15,43,310,78.8,2017
LAR,16,320,518,61.8,3831,7.8,239.4,94,28,7,28,192,98.3,2017
MIN,16,357,527,67.7,3753,7.5,234.6,65,25,8,27,176,99.1,2017
WAS,16,347,540,64.3,3751,7.6,234.4,74,27,13,41,342,93.9,2017
PHI,16,341,564,60.5,3737,7.0,233.6,72,38,9,36,230,97.6,2017
SEA,16,340,555,61.3,3657,7.2,228.6,74,34,12,43,322,94.4,2017
ARI,16,339,598,56.7,3640,6.7,227.5,52,21,18,52,339,76.2,2017
LV,16,347,558,62.2,3631,6.7,226.9,87,23,14,24,130,85.3,2017
JAC,16,316,527,60.0,3593,7.1,224.6,75,21,13,24,123,84.4,2017
MIA,16,373,602,62.0,3535,6.3,220.9,65,24,21,33,257,78.7,2017
NYG,16,373,608,61.3,3479,6.1,217.4,77,20,14,34,201,79.8,2017
DEN,16,332,566,58.7,3333,6.5,208.3,54,19,22,52,335,73.0,2017
HOU,16,299,525,57.0,3278,6.9,204.9,72,28,17,54,366,82.7,2017
CLE,16,312,574,54.4,3228,6.2,201.8,56,15,28,50,309,61.4,2017
TEN,16,306,496,61.7,3191,6.8,199.4,75,14,17,35,203,77.1,2017
NYJ,16,323,510,63.3,3182,6.9,198.9,69,19,12,47,319,86.1,2017
GB,16,352,562,62.6,3167,6.3,197.9,72,25,18,51,365,81.9,2017
DAL,16,309,493,62.7,3141,6.7,196.3,81,22,13,32,185,86.3,2017
CIN,16,304,510,59.6,3122,6.6,195.1,77,25,12,40,264,86.0,2017
CAR,16,293,501,58.5,3077,6.6,192.3,64,22,16,35,242,79.8,2017
BAL,16,363,567,64.0,3030,5.7,189.4,66,20,13,27,205,81.4,2017
IND,16,285,487,58.5,2892,6.6,180.8,80,13,9,56,334,79.6,2017
BUF,16,289,476,60.7,2825,6.5,176.6,47,16,10,47,261,82.1,2017
CHI,16,291,473,61.5,2811,6.5,175.7,70,13,12,39,274,79.1,2017
