Team,GP,ATT,YDS,AVG,YDS/G,LNG,TD,FUM,LST
Jacksonville Jaguars,16,527,"2,262",4.3,141.4,90,18,9,3
Dallas Cowboys,16,480,"2,170",4.5,135.6,70,18,1,1
Philadelphia Eagles,16,473,"2,115",4.5,132.2,71,9,11,5
Carolina Panthers,16,490,"2,102",4.3,131.4,69,15,10,5
New Orleans Saints,16,444,"2,070",4.7,129.4,74,23,5,3
Buffalo Bills,16,487,"2,017",4.1,126.1,48,12,8,2
Minnesota Vikings,16,501,"1,957",3.9,122.3,58,15,4,3
Los Angeles Rams,16,454,"1,953",4.3,122.1,57,17,8,3
Kansas City Chiefs,16,405,"1,903",4.7,118.9,70,12,3,2
New England Patriots,16,448,"1,889",4.2,118.1,44,16,4,2
Baltimore Ravens,16,460,"1,856",4.0,116.0,50,14,5,3
Denver Broncos,16,457,"1,852",4.1,115.8,40,8,5,3
Atlanta Falcons,16,430,"1,847",4.3,115.4,52,12,9,4
Houston Texans,16,448,"1,842",4.1,115.1,49,8,4,1
Tennessee Titans,16,443,"1,833",4.1,114.6,75,18,4,2
Chicago Bears,16,422,"1,788",4.2,111.8,53,13,10,4
Green Bay Packers,16,386,"1,724",4.5,107.8,46,13,4,2
Cleveland Browns,16,384,"1,714",4.5,107.1,59,11,5,2
New York Jets,16,427,"1,702",4.0,106.4,75,13,6,3
Pittsburgh Steelers,16,437,"1,667",3.8,104.2,29,12,4,2
San Francisco 49ers,16,408,"1,664",4.1,104.0,61,15,7,2
Indianapolis Colts,16,451,"1,661",3.7,103.8,35,11,7,1
Seattle Seahawks,16,409,"1,629",4.0,101.8,33,4,7,1
Los Angeles Chargers,16,419,"1,595",3.8,99.7,87,10,5,1
Oakland Raiders,16,370,"1,554",4.2,97.1,52,13,8,4
New York Giants,16,394,"1,549",3.9,96.8,75,6,5,1
Tampa Bay Buccaneers,16,389,"1,450",3.7,90.6,36,8,7,3
Washington Redskins,16,401,"1,448",3.6,90.5,61,10,10,3
Miami Dolphins,16,360,"1,388",3.9,86.8,69,4,5,3
Arizona Cardinals,16,409,"1,386",3.4,86.6,33,6,9,3
Cincinnati Bengals,16,377,"1,366",3.6,85.4,25,6,4,3
Detroit Lions,16,363,"1,221",3.4,76.3,34,10,6,3
