Team,GP,REC,YDS,AVG,YDS/G,LNG,TD,FUM,LST
New England Patriots,16,389,"4,619",11.9,288.7,64,32,2,0
Tampa Bay Buccaneers,16,378,"4,607",12.2,287.9,70,26,6,4
Los Angeles Chargers,16,366,"4,551",12.4,284.4,75,28,3,2
Pittsburgh Steelers,16,384,"4,534",11.8,283.4,97,29,4,0
Detroit Lions,16,374,"4,470",12.0,279.4,71,29,2,2
New Orleans Saints,16,386,"4,334",11.2,270.9,54,23,5,5
Kansas City Chiefs,16,363,"4,326",11.9,270.4,79,26,2,0
San Francisco 49ers,16,362,"4,235",11.7,264.7,83,15,2,2
Atlanta Falcons,16,343,"4,146",12.1,259.1,88,21,1,0
Washington Redskins,16,347,"4,093",11.8,255.8,74,27,4,2
Los Angeles Rams,16,320,"4,023",12.6,251.4,94,28,5,4
Arizona Cardinals,16,339,"3,979",11.7,248.7,52,21,3,2
Seattle Seahawks,16,340,"3,979",11.7,248.7,74,34,1,1
Philadelphia Eagles,16,341,"3,967",11.6,247.9,72,38,2,2
Minnesota Vikings,16,357,"3,929",11.0,245.6,65,25,4,2
Miami Dolphins,16,373,"3,792",10.2,237.0,65,24,10,4
Oakland Raiders,16,347,"3,761",10.8,235.1,87,23,9,7
Jacksonville Jaguars,16,316,"3,716",11.8,232.3,75,21,4,1
New York Giants,16,373,"3,680",9.9,230.0,77,20,1,0
Denver Broncos,16,332,"3,668",11.0,229.3,54,19,3,3
Houston Texans,16,299,"3,644",12.2,227.8,72,28,2,1
Cleveland Browns,16,312,"3,537",11.3,221.1,56,15,4,4
Green Bay Packers,16,352,"3,532",10.0,220.8,72,25,2,1
New York Jets,16,323,"3,501",10.8,218.8,69,19,5,4
Tennessee Titans,16,306,"3,394",11.1,212.1,75,14,3,3
Cincinnati Bengals,16,304,"3,386",11.1,211.6,77,25,6,3
Dallas Cowboys,16,309,"3,326",10.8,207.9,81,22,2,2
Carolina Panthers,16,293,"3,319",11.3,207.4,64,22,1,0
Baltimore Ravens,16,363,"3,235",8.9,202.2,66,20,4,1
Indianapolis Colts,16,285,"3,226",11.3,201.6,80,13,4,3
Buffalo Bills,16,289,"3,086",10.7,192.9,47,16,3,2
Chicago Bears,16,291,"3,085",10.6,192.8,70,13,1,1
