rank,player,rushing_att,rushing_yds,rushing_avg,rushing_lng,rushing_20p,rushing_td,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_td,lst,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1,Derrick Henry,17,238,14.0,99,2,4,0,0,0,0.0,0,0,1,47.8,47.8,78.0,TEN,RB,14,2018
2,Saquon Barkley,14,170,12.1,78,2,1,4,5,27,6.8,0,0,1,25.7,25.7,97.6,NYG,RB,14,2018
3,Christian McCaffrey,16,63,3.9,25,1,2,6,7,38,6.3,0,0,1,22.1,22.1,47.2,CAR,RB,14,2018
4,Joe Mixon,26,111,4.3,19,0,1,5,6,27,5.4,0,0,1,19.8,19.8,98.1,CIN,RB,14,2018
5,Ezekiel Elliott,28,113,4.0,20,1,0,12,13,79,6.6,0,0,1,19.2,19.2,99.7,DAL,RB,14,2018
6,Brandon Bolden,2,60,30.0,54,1,2,1,1,0,0.0,0,0,1,18.0,18.0,10.7,MIA,RB,14,2018
7,Aaron Jones,17,78,4.6,29,1,1,3,3,28,9.3,0,0,1,16.6,16.6,98.9,GB,RB,14,2018
8,Austin Ekeler,15,66,4.4,18,0,1,2,5,28,14.0,0,0,1,15.4,15.4,99.9,LAC,RB,14,2018
9,Chris Carson,22,90,4.1,11,0,1,0,0,0,0.0,0,0,1,15.0,15.0,31.7,SEA,RB,14,2018
10,Damien Williams,8,14,1.8,5,0,1,4,5,16,4.0,1,0,1,15.0,15.0,4.4,KC,RB,14,2018
11,Dalvin Cook,13,55,4.2,13,0,0,5,7,28,5.6,1,0,1,14.3,14.3,100.0,MIN,RB,14,2018
12,Elijah McGuire,17,60,3.5,34,1,1,3,4,23,7.7,0,0,1,14.3,14.3,0.0,NYJ,RB,14,2018
13,Nick Chubb,13,66,5.1,29,1,1,4,6,17,4.3,0,0,1,14.3,14.3,99.8,CLE,RB,14,2018
14,Kenneth Dixon,8,59,7.4,15,0,1,1,1,21,21.0,0,0,1,14.0,14.0,0.1,BAL,RB,14,2018
15,Kenyan Drake,6,24,4.0,11,0,0,1,1,55,55.0,1,0,1,13.9,13.9,29.4,MIA,RB,14,2018
16,Spencer Ware,15,75,5.0,13,0,0,5,5,54,10.8,0,0,1,12.9,12.9,0.0,KC,RB,14,2018
17,Frank Gore,12,92,7.7,36,1,0,1,1,24,24.0,0,0,1,11.6,11.6,12.2,MIA,RB,14,2018
18,Zach Zenner,12,54,4.5,14,0,1,0,0,0,0.0,0,0,1,11.4,11.4,0.0,DET,RB,14,2018
20,Lamar Miller,14,33,2.4,13,0,1,5,6,19,3.8,0,0,1,11.2,11.2,0.0,HOU,RB,14,2018
21,Phillip Lindsay,14,30,2.1,5,0,1,4,7,21,5.3,0,0,1,11.1,11.1,9.0,DEN,RB,14,2018
22,Alvin Kamara,12,51,4.3,12,0,0,5,6,36,7.2,0,0,1,10.7,10.7,100.0,NO,RB,14,2018
23,Jordan Howard,19,101,5.3,21,1,0,1,1,2,2.0,0,0,1,10.3,10.3,18.7,CHI,RB,14,2018
25,Darren Sproles,1,2,2.0,2,0,0,3,3,34,11.3,1,0,1,9.6,9.6,0.1,PHI,RB,14,2018
26,Marlon Mack,14,33,2.4,7,0,1,0,1,0,0.0,0,0,1,9.3,9.3,1.6,IND,RB,14,2018
27,Doug Martin,16,32,2.0,9,0,1,0,0,0,0.0,0,0,1,9.2,9.2,0.0,OAK,RB,14,2018
28,Jaylen Samuels,11,28,2.5,9,0,0,7,7,64,9.1,0,0,1,9.2,9.2,0.1,PIT,RB,14,2018
29,Tarik Cohen,9,69,7.7,32,2,0,4,4,20,5.0,0,0,1,8.9,8.9,3.0,CHI,RB,14,2018
30,Alfred Blue,6,21,3.5,11,0,1,0,1,0,0.0,0,0,1,8.1,8.1,0.0,HOU,RB,14,2018
31,Ito Smith,11,60,5.5,17,0,0,3,4,14,4.7,0,0,1,7.4,7.4,0.0,ATL,RB,14,2018
32,Trenton Cannon,5,3,0.6,4,0,1,1,1,4,4.0,0,0,1,6.7,6.7,0.1,NYJ,RB,14,2018
33,Gus Edwards,16,67,4.2,11,0,0,0,0,0,0.0,0,0,1,6.7,6.7,9.6,BAL,RB,14,2018
34,Zach Line,1,4,4.0,4,0,0,1,1,1,1.0,1,0,1,6.5,6.5,0.0,NO,RB,14,2018
35,Stevan Ridley,5,4,0.8,2,0,1,0,0,0,0.0,0,0,1,6.4,6.4,0.0,PIT,RB,14,2018
36,James Develin,1,2,2.0,2,0,1,0,0,0,0.0,0,0,1,6.2,6.2,0.0,NE,RB,14,2018
37,David Johnson,15,49,3.3,10,0,0,8,10,12,1.5,0,0,1,6.1,6.1,35.4,ARI,RB,14,2018
