rank,player,fg,fg_att,fg_pct,long,1-19,20-29,30-39,40-49,50+,XPT,XPA,games,fantasy_points,fantasy_points_per_game,rost,team,position,year
1.0,Stephen Gostkowski,33.0,36.0,91.7,57.0,0.0,6.0,11.0,12.0,4.0,52.0,52.0,16.0,171.0,10.7,0.1,FA,K,2015
2.0,Graham Gano,30.0,36.0,83.3,52.0,1.0,10.0,4.0,13.0,2.0,56.0,58.0,16.0,163.0,10.2,31.4,NYG,K,2015
3.0,Blair Walsh,34.0,39.0,87.2,54.0,0.0,9.0,13.0,6.0,6.0,33.0,37.0,16.0,153.0,9.6,0.1,FA,K,2015
4.0,Robbie Gould,33.0,39.0,84.6,55.0,1.0,8.0,10.0,7.0,7.0,28.0,28.0,16.0,148.0,9.3,22.5,SF,K,2015
5.0,Josh Brown,30.0,32.0,93.8,53.0,1.0,6.0,12.0,8.0,3.0,44.0,45.0,16.0,148.0,9.3,0.0,FA,K,2015
6.0,Cairo Santos,30.0,37.0,81.1,53.0,0.0,7.0,10.0,9.0,4.0,39.0,41.0,16.0,146.0,9.1,2.1,CHI,K,2015
7.0,Justin Tucker,33.0,40.0,82.5,52.0,0.0,10.0,9.0,10.0,4.0,29.0,29.0,16.0,146.0,9.1,98.0,BAL,K,2015
8.0,Stephen Hauschka,29.0,31.0,93.5,54.0,0.0,9.0,7.0,7.0,6.0,40.0,42.0,16.0,146.0,9.1,0.0,FA,K,2015
9.0,Chandler Catanzaro,28.0,31.0,90.3,47.0,1.0,12.0,9.0,6.0,0.0,53.0,58.0,16.0,143.0,8.9,0.0,FA,K,2015
10.0,Brandon McManus,30.0,35.0,85.7,57.0,0.0,12.0,8.0,5.0,5.0,35.0,36.0,16.0,140.0,8.8,44.3,DEN,K,2015
11.0,Mike Nugent,23.0,28.0,82.1,52.0,0.0,6.0,5.0,10.0,2.0,48.0,48.0,16.0,131.0,8.2,1.0,FA,K,2015
12.0,Dan Bailey,30.0,32.0,93.8,54.0,0.0,9.0,10.0,6.0,5.0,25.0,25.0,16.0,131.0,8.2,0.0,FA,K,2015
13.0,Chris Boswell,29.0,32.0,90.6,51.0,1.0,9.0,8.0,9.0,2.0,26.0,27.0,12.0,126.0,10.5,51.0,PIT,K,2015
14.0,Dustin Hopkins,25.0,28.0,89.3,54.0,0.0,7.0,9.0,7.0,2.0,39.0,40.0,15.0,125.0,8.3,14.5,LAC,K,2015
15.0,Josh Lambo,26.0,32.0,81.3,54.0,0.0,4.0,7.0,11.0,4.0,28.0,31.0,16.0,125.0,7.8,3.2,FA,K,2015
16.0,Mason Crosby,24.0,28.0,85.7,56.0,1.0,7.0,4.0,8.0,4.0,36.0,36.0,16.0,124.0,7.8,40.7,GB,K,2015
17.0,Adam Vinatieri,25.0,27.0,92.6,55.0,0.0,7.0,6.0,8.0,4.0,32.0,34.0,16.0,123.0,7.7,0.2,FA,K,2015
18.0,Jason Myers,26.0,30.0,86.7,58.0,0.0,9.0,8.0,6.0,3.0,32.0,39.0,16.0,122.0,7.6,22.1,SEA,K,2015
19.0,Matt Prater,22.0,24.0,91.7,59.0,0.0,3.0,8.0,6.0,5.0,36.0,38.0,16.0,118.0,7.4,52.8,ARI,K,2015
20.0,Dan Carpenter,23.0,27.0,85.2,52.0,0.0,5.0,8.0,7.0,3.0,34.0,40.0,16.0,116.0,7.3,0.2,FA,K,2015
21.0,Sebastian Janikowski,21.0,26.0,80.8,56.0,0.0,7.0,5.0,5.0,4.0,38.0,39.0,16.0,114.0,7.1,20.0,FA,K,2015
22.0,Travis Coons,28.0,32.0,87.5,47.0,0.0,11.0,10.0,7.0,0.0,22.0,24.0,16.0,113.0,7.1,1.1,FA,K,2015
23.0,Phil Dawson,24.0,27.0,88.9,54.0,0.0,9.0,6.0,6.0,3.0,20.0,20.0,16.0,104.0,6.5,0.1,FA,K,2015
24.0,Connor Barth,23.0,28.0,82.1,53.0,0.0,9.0,8.0,3.0,3.0,25.0,26.0,12.0,103.0,8.6,0.0,FA,K,2015
25.0,Greg Zuerlein,20.0,30.0,66.7,61.0,1.0,2.0,9.0,5.0,3.0,26.0,27.0,14.0,97.0,6.9,74.2,DAL,K,2015
26.0,Caleb Sturgis,18.0,22.0,81.8,53.0,0.0,4.0,8.0,4.0,2.0,35.0,37.0,13.0,97.0,7.5,0.0,FA,K,2015
27.0,Nick Novak,18.0,21.0,85.7,51.0,0.0,6.0,6.0,4.0,2.0,29.0,31.0,13.0,91.0,7.0,0.1,FA,K,2015
28.0,Randy Bullock,19.0,23.0,82.6,49.0,1.0,4.0,6.0,8.0,0.0,22.0,25.0,11.0,87.0,7.9,10.8,TEN,K,2015
29.0,Ryan Succop,14.0,16.0,87.5,51.0,0.0,3.0,3.0,7.0,1.0,29.0,30.0,16.0,80.0,5.0,57.4,TB,K,2015
30.0,Andrew Franks,13.0,16.0,81.3,53.0,1.0,3.0,4.0,4.0,1.0,33.0,36.0,16.0,78.0,4.9,0.0,FA,K,2015
31.0,Matt Bryant,14.0,18.0,77.8,47.0,1.0,4.0,3.0,6.0,0.0,26.0,26.0,10.0,74.0,7.4,1.1,FA,K,2015
32.0,Kai Forbath,10.0,15.0,66.7,57.0,0.0,2.0,3.0,3.0,2.0,34.0,35.0,11.0,66.0,6.0,3.0,LAR,K,2015
33.0,Nick Folk,13.0,16.0,81.3,55.0,0.0,2.0,6.0,3.0,2.0,19.0,19.0,8.0,65.0,8.1,81.8,NE,K,2015
34.0,Shayne Graham,11.0,13.0,84.6,54.0,0.0,2.0,4.0,2.0,3.0,8.0,8.0,5.0,49.0,9.8,0.0,FA,K,2015
35.0,Zach Hocker,10.0,14.0,71.4,51.0,0.0,3.0,5.0,1.0,1.0,12.0,12.0,8.0,45.0,5.6,0.0,FA,K,2015
36.0,Kyle Brindza,6.0,12.0,50.0,58.0,0.0,1.0,2.0,1.0,2.0,6.0,8.0,4.0,29.0,7.3,0.0,FA,K,2015
37.0,Josh Scobee,6.0,10.0,60.0,45.0,0.0,2.0,1.0,3.0,0.0,6.0,7.0,4.0,27.0,6.8,0.0,FA,K,2015
38.0,Cody Parkey,3.0,4.0,75.0,46.0,0.0,1.0,1.0,1.0,0.0,7.0,7.0,3.0,17.0,5.7,0.4,FA,K,2015
39.0,Matt Gay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.8,LAR,K,2015
40.0,Matthew Wright,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,JAC,K,2015
41.0,Austin Seibert,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,DET,K,2015
42.0,Chris Blewitt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,CLE,K,2015
43.0,Daniel Carlson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.3,LV,K,2015
44.0,Michael Badgley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9,IND,K,2015
45.0,Ka'imi Fairbairn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,HOU,K,2015
46.0,Jonathan Brown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.1,FA,K,2015
47.0,Wil Lutz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,NO,K,2015
48.0,Sam Ficken,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,TEN,K,2015
49.0,Jake Elliott,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,PHI,K,2015
50.0,Zane Gonzalez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,CAR,K,2015
51.0,Harrison Butker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.6,KC,K,2015
52.0,Younghoe Koo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.9,ATL,K,2015
53.0,Chase McLaughlin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,CLE,K,2015
54.0,Jason Sanders,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.6,MIA,K,2015
55.0,Eddy Pineiro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,NYJ,K,2015
56.0,Greg Joseph,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.1,MIN,K,2015
57.0,Joey Slye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,WAS,K,2015
58.0,JJ Molson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GB,K,2015
59.0,Cameron Nizialek,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PIT,K,2015
60.0,Evan McPherson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.2,CIN,K,2015
61.0,Riley Patterson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,DET,K,2015
62.0,Jose Borregales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TB,K,2015
63.0,Quinn Nordin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,NE,K,2015
64.0,Chris Naggar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,DAL,K,2015
65.0,Brian Johnson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,WAS,K,2015
66.0,Dominik Eberle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GB,K,2015
67.0,Rodrigo Blankenship,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,IND,K,2015
68.0,Jake Verity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IND,K,2015
69.0,Tyler Bass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.8,BUF,K,2015
70.0,Sam Sloman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PIT,K,2015
71.0,Matt Ammendola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,NYJ,K,2015
72.0,Lirim Hajrullahu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,CAR,K,2015
73.0,Austin MacGinnis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LAR,K,2015
74.0,Piotr Czech,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PIT,K,2015
75.0,Steven Weatherford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NYJ,K,2015
76.0,Zac Derr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ATL,K,2015
77.0,Ricky Schmit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SF,K,2015
78.0,Parker Douglass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NYJ,K,2015
79.0,Andrew Wellock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CAR,K,2015
80.0,Billy Cundiff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,FA,K,2015
81.0,Carlos Martinez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DAL,K,2015
82.0,Garrett Rivas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TB,K,2015
83.0,Jason Reda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CLE,K,2015
84.0,MacKenzie Hoambrecker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SF,K,2015
85.0,Mark Hickok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NYG,K,2015
86.0,Andrew Jacas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SF,K,2015
87.0,Sergio Castillo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NYJ,K,2015
88.0,Michael Palardy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,MIA,K,2015
89.0,Jordan Gay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,FA,K,2015
90.0,Ty Long,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,LAC,K,2015
91.0,Garrett Lindholm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ATL,K,2015
92.0,Connor Hughes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DAL,K,2015
93.0,Clint Stitser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WAS,K,2015
94.0,Saverio Rocca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WAS,K,2015
95.0,Giorgio Tavecchio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TEN,K,2015
