Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
58,Devin Funchess(FA),31,63,473,15.3,52,5,5,0,0,0,1,16,75.3,4.7,0.0%
59,DeSean Jackson(LV),30,49,528,17.6,77,10,4,0,0,0,1,9,74.8,8.3,4.4%
60,Jamison Crowder(NYJ),59,78,604,10.2,44,7,2,2,2,0,1,16,74.6,4.7,23.6%
61,Andre Johnson(FA),41,77,503,12.3,35,7,4,0,0,0,0,16,74.3,4.6,0.0%
62,Vincent Jackson(FA),33,62,543,16.5,36,13,3,0,0,0,0,10,74.3,7.4,0.0%
63,Corey Brown(FA),31,54,447,14.4,39,9,4,6,38,0,0,14,72.5,5.2,0.2%
64,Malcom Floyd(FA),30,69,561,18.7,70,10,3,0,0,0,1,15,72.1,4.8,0.0%
65,Robert Woods(LAR),47,80,552,11.7,37,5,3,1,0,0,1,14,71.2,5.1,29.9%
66,Jerricho Cotchery(FA),39,54,485,12.4,59,6,3,1,16,0,0,14,68.1,4.9,0.0%
67,Cecil Shorts(FA),42,75,484,11.5,42,5,2,10,47,0,1,11,67.9,6.2,0.0%
68,Steve Johnson(FA),45,65,497,11.0,34,7,3,0,0,0,0,10,67.7,6.8,0.0%
69,DeVante Parker(MIA),26,50,494,19.0,49,9,3,0,0,0,0,14,67.4,4.8,64.3%
70,Dwayne Harris(FA),36,57,396,11.0,38,5,4,2,12,0,0,15,64.8,4.3,0.0%
71,Dontrelle Inman(FA),35,63,486,13.9,68,6,3,0,0,0,1,14,64.6,4.6,0.0%
72,Brian Hartline(FA),46,77,523,11.4,41,4,2,0,0,0,0,12,64.3,5.4,0.0%
73,Kenny Stills(NO),27,63,440,16.3,47,10,3,0,0,0,0,16,62.0,3.9,0.1%
74,Kendall Wright(FA),36,60,408,11.3,52,4,3,5,17,0,0,10,60.5,6.1,0.0%
75,Mike Wallace(FA),39,72,473,12.1,34,6,2,1,6,0,0,16,59.9,3.7,0.0%
76,Albert Wilson(MIA),35,57,451,12.9,44,6,2,5,26,0,0,14,59.7,4.3,0.8%
77,Mohamed Sanu Sr.(SF),33,49,394,11.9,52,8,0,10,71,2,0,16,58.5,3.7,0.1%
78,Dez Bryant(FA),31,72,401,12.9,51,3,3,0,0,0,0,9,58.1,6.5,2.6%
79,Chris Hogan(FA),36,59,450,12.5,46,6,2,1,4,0,0,16,57.6,3.6,0.0%
80,Brandon Coleman(FA),30,49,454,15.1,31,11,2,0,0,0,0,16,57.4,3.6,0.0%
81,Roddy White(FA),43,70,506,11.8,25,6,1,0,0,0,0,16,56.6,3.5,0.0%
82,Davante Adams(GB),50,94,483,9.7,40,6,1,0,0,0,0,13,56.3,4.3,100.0%
83,Lance Moore(FA),29,43,337,11.6,42,7,4,0,0,0,1,14,55.7,4.0,0.0%
84,Brandon LaFell(FA),37,74,515,13.9,54,7,0,2,9,0,0,11,52.4,4.8,0.0%
85,Marquess Wilson(FA),28,51,464,16.6,50,8,1,0,0,0,0,11,52.4,4.8,0.0%
86,Leonard Hankerson(FA),26,46,327,12.6,55,3,3,0,0,0,0,10,50.7,5.1,0.0%
87,Harry Douglas(FA),36,72,411,11.4,51,4,2,1,-6,0,1,14,50.5,3.6,0.0%
88,Josh Huff(FA),27,40,312,11.6,41,3,3,0,0,0,0,15,49.2,3.3,0.0%
89,Quinton Patton(FA),30,57,394,13.1,41,7,1,1,5,0,0,16,45.9,2.9,0.2%
90,Jarius Wright(FA),34,50,442,13.0,52,4,0,1,29,0,1,16,45.1,2.8,0.0%
91,Riley Cooper(FA),21,41,327,15.6,62,4,2,0,0,0,0,16,44.7,2.8,0.0%
92,Andre Holmes(FA),14,33,201,14.4,49,4,4,0,0,0,0,16,44.1,2.8,0.0%
93,Darrius Heyward-Bey(FA),21,39,314,15.0,66,5,2,0,0,0,0,16,43.4,2.7,0.0%
94,Chris Givens(FA),20,54,353,17.7,48,7,1,4,18,0,0,15,43.1,2.9,0.0%
95,Bryan Walters(FA),32,45,368,11.5,31,6,1,0,0,0,0,11,42.8,3.9,0.0%
96,J.J. Nelson(IND),11,27,299,27.2,64,7,2,1,0,0,1,11,39.9,3.6,0.0%
97,Ryan Grant(FA),23,42,268,11.7,35,3,2,0,0,0,0,16,38.8,2.4,0.0%
98,Keshawn Martin(FA),24,37,269,11.2,39,2,2,1,6,0,1,9,37.5,4.2,0.0%
99,Jeremy Butler(FA),31,44,363,11.7,41,5,0,0,0,0,0,8,36.3,4.5,0.0%
100,Josh Bellamy(FA),19,34,224,11.8,48,3,2,0,0,0,0,16,34.4,2.2,0.0%
101,Jaelen Strong(FA),14,24,161,11.5,42,2,3,0,0,0,0,10,34.1,3.4,0.0%
102,Justin Hunter(FA),22,31,264,12.0,29,4,1,0,0,0,0,9,32.4,3.6,0.0%
103,Nelson Agholor(NE),23,44,283,12.3,53,3,1,0,0,0,1,13,32.3,2.5,13.6%
104,Adam Humphries(WAS),27,40,260,9.6,27,1,1,0,0,0,0,13,32.0,2.5,0.8%
105,Quincy Enunwa(FA),22,46,315,14.3,48,6,0,0,0,0,0,12,31.5,2.6,0.0%
106,Percy Harvin(FA),19,30,218,11.5,51,3,1,5,31,0,0,5,30.9,6.2,0.1%
107,Eddie Royal(FA),37,50,238,6.4,30,2,1,1,-1,0,0,9,29.7,3.3,0.0%
108,Marqise Lee(FA),15,32,191,12.7,30,2,1,5,38,0,0,10,28.9,2.9,0.0%
