Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
1,Devonta Freeman(BAL),265,"1,056",4.0,39,6,11,73,97,578,7.9,3,2,15,243.9,16.3,74.2%
2,Adrian Peterson(SEA),327,"1,485",4.5,80,10,11,30,36,222,7.4,0,3,16,230.7,14.4,4.9%
3,Doug Martin(FA),288,"1,402",4.9,84,14,6,33,44,271,8.2,1,5,16,199.3,12.5,0.0%
4,DeAngelo Williams(FA),200,907,4.5,55,6,11,40,47,367,9.2,0,2,16,193.4,12.1,0.1%
5,Todd Gurley II(FA),229,"1,106",4.8,71,11,10,21,26,188,9.0,0,1,13,187.6,14.4,0.4%
6,Lamar Miller(FA),194,872,4.5,85,7,8,47,57,397,8.4,2,1,16,184.9,11.6,0.0%
7,David Johnson(HOU),125,581,4.6,47,3,8,36,57,457,12.7,4,1,16,173.8,10.9,35.4%
8,Chris Ivory(FA),247,"1,070",4.3,58,9,7,30,37,217,7.2,1,2,15,172.7,11.5,0.0%
9,Matt Forte(FA),218,898,4.1,27,4,4,44,58,389,8.8,3,1,13,170.7,13.1,19.1%
10,Danny Woodhead(FA),98,336,3.4,27,1,3,80,106,755,9.4,6,0,16,163.1,10.2,20.6%
11,Latavius Murray(BAL),266,"1,066",4.0,54,9,6,41,53,232,5.7,0,1,16,161.8,10.1,22.2%
12,Frank Gore(FA),260,967,3.7,37,5,6,34,58,267,7.9,1,3,16,159.4,10.0,12.2%
13,Darren McFadden(FA),239,"1,089",4.6,50,9,3,40,53,328,8.2,0,3,16,155.7,9.7,7.0%
14,Jeremy Hill(FA),223,794,3.6,38,1,11,15,19,79,5.3,1,3,16,155.3,9.7,0.0%
15,Mark Ingram II(NO),166,769,4.6,70,5,6,50,60,405,8.1,0,1,12,153.4,12.8,39.1%
16,Jonathan Stewart(FA),242,989,4.1,44,4,6,16,21,99,6.2,1,2,13,146.8,11.3,0.0%
17,LeSean McCoy(FA),203,895,4.4,48,6,3,32,50,292,9.1,2,2,12,146.7,12.2,2.0%
18,DeMarco Murray(FA),193,702,3.6,54,5,6,44,55,322,7.3,1,2,15,140.1,9.3,0.1%
19,Ronnie Hillman(FA),207,863,4.2,72,5,7,24,35,111,4.6,0,1,16,137.4,8.6,0.0%
20,Rashad Jennings(FA),195,863,4.4,38,6,3,29,40,296,10.2,1,2,16,135.9,8.5,0.0%
21,Giovani Bernard(TB),154,730,4.7,28,2,2,49,66,472,9.6,0,0,16,132.2,8.3,5.4%
